抽せん日,本数字,ボーナス数字,回別,1等口数,1等当選金額,2等口数,2等当選金額,3等口数,3等当選金額,4等口数,4等当選金額,5等口数,5等当選金額,6等口数,6等当選金額,キャリーオーバー
2014-05-30,03 07 09 15 16 23 34,05 33,第60回,1口,"636,917,600円",10口,"9,951,000円",203口,"686,200円","9,309口","8,700円","131,989口","1,500円","207,951口",800円,0円
2014-06-06,05 10 11 21 28 31 37,13 14,第61回,1口,"231,978,000円",5口,"15,005,200円",110口,"954,800円","4,819口","12,700円","73,709口","2,000円","124,174口","1,000円",0円
2014-06-13,04 10 12 15 27 32 33,09 16,第62回,該当なし,該当なし,6口,"12,590,700円",115口,"919,600円","5,329口","11,600円","82,357口","1,800円","137,777口",900円,"234,614,670円"
2014-06-20,04 08 19 24 28 30 32,12 37,第63回,1口,"524,339,700円",15口,"6,457,200円",180口,"753,300円","7,737口","10,200円","107,083口","1,800円","167,728口","1,000円",0円
2014-06-27,04 15 16 17 20 29 36,19 26,第64回,該当なし,該当なし,2口,"38,773,400円",71口,"1,529,000円","4,186口","15,200円","72,498口","2,100円","110,154口","1,200円","235,685,240円"
2014-07-04,04 07 12 22 23 24 28,25 34,第65回,該当なし,該当なし,13口,"7,294,900円",184口,"721,500円","8,698口","8,900円","127,318口","1,500円","189,206口",900円,"510,891,905円"
2014-07-11,01 11 25 28 31 33 37,03 20,第66回,該当なし,該当なし,3口,"35,602,400円",104口,"1,437,700円","5,619口","15,600円","99,107口","2,100円","172,089口","1,100円","829,816,620円"
2014-07-18,07 11 15 17 18 25 35,06 33,第67回,該当なし,該当なし,13口,"9,336,100円",166口,"1,023,500円","7,610口","13,000円","121,393口","2,000円","220,199口","1,000円","1,181,533,320円"
2014-07-25,02 07 13 15 24 34 35,12 23,第68回,1口,"800,000,000円",25口,"5,519,400円",210口,"919,800円","10,354口","10,900円","152,027口","1,800円","281,508口",800円,"808,528,740円"
2014-08-01,13 17 20 22 28 29 37,11 12,第69回,1口,"800,000,000円",9口,"13,107,500円",118口,"1,399,600円","5,961口","16,200円","99,657口","2,400円","179,019口","1,100円","363,873,750円"
2014-08-08,09 10 18 21 27 33 35,04 11,第70回,3口,"222,116,800円",15口,"6,723,700円",163口,"866,200円","7,266口","11,400円","102,768口","1,900円","178,645口","1,000円",0円
2014-08-15,01 06 13 29 34 35 37,02 15,第71回,該当なし,該当なし,2口,"37,959,300円",61口,"1,742,300円","3,423口","18,200円","61,037口","2,500円","118,919口","1,100円","225,783,715円"
2014-08-22,11 12 18 19 20 31 32,09 21,第72回,5口,"103,896,700円",35口,"2,815,300円",120口,"1,149,500円","5,236口","15,400円","84,053口","2,300円","145,081口","1,200円",0円
2014-08-29,12 16 23 25 27 30 32,28 33,第73回,該当なし,該当なし,9口,"8,881,600円",96口,"1,165,600円","4,888口","13,400円","79,551口","2,000円","137,375口","1,000円","239,746,775円"
2014-09-05,05 13 14 15 16 24 31,09 11,第74回,該当なし,該当なし,9口,"10,902,000円",115口,"1,194,400円","6,063口","13,200円","100,706口","1,900円","168,688口","1,000円","538,287,400円"
2014-09-12,04 09 15 17 19 35 37,10 20,第75回,2口,"434,459,600円",9口,"12,033,700円",107口,"1,417,000円","5,858口","15,100円","102,544口","2,100円","164,397口","1,100円",0円
2014-09-19,04 13 18 29 32 34 36,24 33,第76回,1口,"241,111,000円",5口,"15,503,500円",131口,"828,400円","4,941口","12,800円","76,086口","2,000円","141,102口",900円,0円
2014-09-26,03 10 23 25 26 28 30,15 29,第77回,該当なし,該当なし,8口,"9,431,900円",99口,"1,067,000円","4,883口","12,600円","79,505口","1,900円","134,731口","1,000円","220,682,015円"
2014-10-03,05 06 10 14 24 28 36,07 20,第78回,2口,"245,019,800円",8口,"11,188,900円",134口,"935,100円","6,232口","11,700円","93,845口","1,900円","153,240口","1,000円",0円
2014-10-10,02 04 07 09 21 29 37,06 36,第79回,該当なし,該当なし,8口,"9,076,100円",83口,"1,224,700円","4,630口","12,800円","76,764口","1,900円","127,730口","1,000円","213,723,005円"
2014-10-17,02 05 10 18 21 24 27,25 34,第80回,該当なし,該当なし,6口,"15,082,300円",161口,"786,800円","6,067口","12,200円","91,076口","2,000円","142,350口","1,100円","482,184,370円"
2014-10-24,01 03 10 18 28 31 35,09 21,第81回,該当なし,該当なし,10口,"10,885,100円",117口,"1,302,400円","6,097口","14,600円","101,530口","2,100円","176,500口","1,100円","805,203,145円"
2014-10-31,01 03 16 20 25 27 34,18 37,第82回,該当なし,該当なし,10口,"13,060,900円",117口,"1,562,800円","6,744口","15,900円","116,324口","2,200円","191,383口","1,200円","1,195,576,075円"
2014-11-07,01 11 21 26 28 32 35,18 22,第83回,該当なし,該当なし,11口,"13,156,900円",118口,"1,717,000円","7,047口","16,800円","123,990口","2,300円","218,185口","1,200円","1,619,633,575円"
2014-11-14,08 16 23 28 29 35 36,12 37,第84回,該当なし,該当なし,23口,"6,770,600円",236口,"923,700円","12,518口","10,200円","180,209口","1,700円","291,170口",900円,"2,095,793,915円"
2014-11-21,06 07 10 11 22 26 35,14 23,第85回,1口,"800,000,000円",22口,"7,538,600円",242口,"959,400円","10,771口","12,600円","170,753口","1,900円","306,651口",900円,"1,808,128,280円"
2014-11-28,03 10 20 21 22 26 30,24 35,第86回,1口,"800,000,000円",16口,"8,694,200円",153口,"1,272,800円","7,353口","15,500円","120,914口","2,300円","205,807口","1,200円","1,416,245,085円"
2014-12-05,08 09 12 18 20 28 31,13 15,第87回,該当なし,該当なし,13口,"9,776,900円",138口,"1,289,400円","7,821口","13,300円","127,559口","2,000円","223,589口","1,000円","1,790,275,855円"
2014-12-12,03 04 10 14 25 29 30,18 19,第88回,該当なし,該当なし,11口,"12,013,600円",177口,"1,045,200円","8,800口","12,300円","136,071口","1,900円","235,427口","1,000円","2,182,851,930円"
2014-12-19,01 03 11 26 28 34 36,17 20,第89回,該当なし,該当なし,12口,"11,582,900円",159口,"1,223,800円","8,388口","13,600円","138,336口","2,000円","224,541口","1,100円","2,591,414,655円"
2014-12-26,02 08 09 13 14 18 37,11 25,第90回,1口,"800,000,000円",15口,"10,036,600円",153口,"1,377,500円","8,377口","14,700円","142,874口","2,100円","267,154口","1,000円","2,234,360,775円"
2015-01-09,01 05 07 14 15 25 35,18 24,第91回,該当なし,該当なし,18口,"8,186,000円",315口,"654,800円","11,332口","10,600円","162,096口","1,800円","260,376口","1,000円","2,671,288,235円"
2015-01-16,04 05 15 25 26 29 32,11 27,第92回,1口,"800,000,000円",9口,"15,195,400円",162口,"1,181,800円","7,853口","14,300円","133,466口","2,000円","245,160口","1,000円","2,276,371,255円"
2015-01-23,02 05 11 14 17 30 32,31 37,第93回,2口,"800,000,000円",10口,"12,969,400円",139口,"1,306,200円","7,146口","14,900円","117,498口","2,200円","196,034口","1,200円","1,052,449,145円"
2015-01-30,13 19 20 27 28 29 30,26 36,第94回,2口,"705,794,000円",8口,"15,220,500円",120口,"1,420,500円","6,192口","16,100円","104,231口","2,300円","181,697口","1,200円",0円
2015-02-06,01 08 13 14 18 30 34,26 36,第95回,該当なし,該当なし,5口,"18,009,000円",89口,"1,416,400円","4,775口","15,400円","79,565口","2,200円","146,366口","1,100円","268,239,710円"
2015-02-13,09 11 14 21 22 23 24,10 36,第96回,該当なし,該当なし,15口,"6,898,400円",130口,"1,114,300円","6,426口","13,200円","103,877口","2,000円","180,889口","1,000円","573,705,620円"
2015-02-20,07 13 14 16 22 24 35,01 29,第97回,1口,"800,000,000円",16口,"6,932,900円",129口,"1,203,800円","6,927口","13,100円","111,308口","2,000円","178,510口","1,100円","99,001,930円"
2015-02-27,03 09 11 13 19 25 33,10 30,第98回,該当なし,該当なし,18口,"5,366,700円",189口,"715,500円","7,746口","10,200円","109,792口","1,700円","172,961口","1,000円","387,567,960円"
2015-03-06,13 17 22 24 27 28 35,11 19,第99回,1口,"699,064,600円",11口,"9,328,000円",131口,"1,096,500円","6,826口","12,300円","105,445口","1,900円","176,597口","1,000円",0円
2015-03-13,01 02 11 16 25 35 36,09 14,第100回,該当なし,該当なし,6口,"14,043,600円",76口,"1,552,100円","4,479口","15,400円","78,016口","2,100円","152,645口","1,000円","248,837,600円"
2015-03-20,11 12 21 23 28 36 37,03 16,第101回,該当なし,該当なし,9口,"10,648,500円",147口,"912,700円","5,973口","13,100円","97,792口","1,900円","177,936口",900円,"546,062,785円"
2015-03-27,01 04 08 27 28 29 31,13 25,第102回,3口,"295,337,700円",14口,"7,795,200円",155口,"985,700円","7,215口","12,400円","117,503口","1,800円","200,661口",900円,0円
2015-04-03,02 03 11 12 22 35 36,30 34,第103回,該当なし,該当なし,3口,"27,272,900円",134口,"854,800円","5,989口","11,200円","91,551口","1,800円","133,012口","1,100円","237,715,660円"
2015-04-10,07 09 11 15 16 22 37,12 13,第104回,1口,"523,951,100円",7口,"13,662,100円",129口,"1,037,800円","6,241口","12,500円","98,767口","1,900円","168,004口","1,000円",0円
2015-04-17,03 15 19 20 26 28 33,17 21,第105回,1口,"248,384,000円",12口,"6,977,900円",116口,"1,010,500円","5,412口","12,700円","85,105口","1,900円","137,748口","1,100円",0円
2015-04-24,06 10 12 19 21 22 30,01 11,第106回,該当なし,該当なし,10口,"8,217,800円",105口,"1,095,600円","4,888口","13,800円","78,353口","2,100円","144,248口","1,000円","242,369,330円"
2015-05-01,03 08 09 13 17 27 33,29 31,第107回,該当なし,該当なし,15口,"6,523,000円",165口,"830,100円","7,623口","10,500円","112,363口","1,700円","182,521口",900円,"543,591,915円"
2015-05-08,02 06 07 08 28 30 36,18 21,第108回,該当なし,該当なし,15口,"6,899,600円",164口,"883,400円","7,155口","11,800円","111,653口","1,800円","180,825口","1,000円","856,434,470円"
2015-05-15,06 17 20 21 24 30 32,07 23,第109回,該当なし,該当なし,7口,"16,296,700円",116口,"1,376,700円","5,373口","17,400円","90,074口","2,500円","168,077口","1,200円","1,194,796,700円"
2015-05-22,04 12 22 30 31 35 36,19 37,第110回,該当なし,該当なし,5口,"24,076,400円",97口,"1,737,400円","5,982口","16,500円","107,601口","2,200円","193,433口","1,100円","1,552,785,590円"
2015-05-29,07 08 09 24 28 30 33,01 34,第111回,1口,"800,000,000円",20口,"6,520,500円",462口,"395,100円","9,785口","10,900円","141,811口","1,800円","216,444口","1,000円","1,156,138,945円"
2015-06-05,06 07 10 15 27 35 36,13 20,第112回,該当なし,該当なし,11口,"10,423,500円",185口,"867,600円","7,596口","12,300円","124,932口","1,800円","200,050口","1,000円","1,500,897,975円"
2015-06-12,04 06 07 09 15 17 37,14 20,第113回,該当なし,該当なし,5口,"24,776,900円",143口,"1,212,800円","8,092口","12,500円","131,713口","1,900円","197,180口","1,100円","1,865,147,520円"
2015-06-19,08 13 26 27 28 29 37,04 12,第114回,1口,"800,000,000円",13口,"10,381,400円",176口,"1,073,500円","9,938口","11,100円","149,653口","1,800円","269,436口",900円,"1,458,876,495円"
2015-06-26,06 08 13 14 20 25 27,24 26,第115回,1口,"800,000,000円",12口,"10,371,300円",208口,"837,600円","8,562口","11,900円","132,365口","1,900円","223,347口","1,000円","1,019,016,770円"
2015-07-03,09 14 23 27 28 31 32,03 20,第116回,1口,"800,000,000円",7口,"16,907,200円",159口,"1,042,000円","8,032口","12,100円","121,251口","1,900円","196,929口","1,000円","585,423,220円"
2015-07-10,09 10 20 28 31 34 37,23 26,第117回,該当なし,該当なし,4口,"27,178,600円",99口,"1,537,300円","5,050口","17,600円","87,904口","2,500円","165,536口","1,100円","913,053,470円"
2015-07-17,05 08 09 24 27 28 30,16 20,第118回,該当なし,該当なし,9口,"11,925,600円",213口,"705,400円","11,376口","7,700円","140,813口","1,500円","198,944口",900円,"1,243,142,375円"
2015-07-24,03 06 08 14 15 25 36,24 35,第119回,1口,"800,000,000円",90口,"1,234,300円",223口,"697,400円","11,619口","7,800円","137,464口","1,600円","229,907口",800円,"784,900,955円"
2015-07-31,02 16 18 26 32 35 37,09 36,第120回,該当なし,該当なし,5口,"21,086,900円",125口,"1,180,800円","5,325口","16,200円","90,974口","2,300円","163,486口","1,100円","1,103,234,440円"
2015-08-07,02 04 13 16 21 30 37,19 29,第121回,1口,"800,000,000円",3口,"35,571,400円",103口,"1,450,400円","5,189口","16,800円","87,477口","2,400円","164,610口","1,100円","628,349,190円"
2015-08-14,02 16 18 26 27 34 35,05 12,第122回,該当なし,該当なし,9口,"11,120,500円",130口,"1,077,800円","6,455口","12,700円","91,608口","2,200円","171,725口","1,000円","926,503,785円"
2015-08-21,01 03 05 08 29 34 36,23 28,第123回,1口,"800,000,000円",11口,"10,030,800円",117口,"1,320,200円","6,184口","14,600円","112,178口","1,900円","226,852口",800円,"472,187,410円"
2015-08-28,01 02 15 17 18 22 36,06 27,第124回,1口,"785,704,400円",6口,"17,461,400円",94口,"1,560,300円","5,424口","15,800円","91,676口","2,300円","178,588口","1,000円",0円
2015-09-04,01 06 11 14 19 28 35,18 21,第125回,該当なし,該当なし,4口,"21,167,200円",146口,"811,800円","6,273口","11,000円","93,226口","1,800円","138,088口","1,100円","248,655,270円"
