抽せん日,本数字,ボーナス数字,回別,1等口数,1等当選金額,2等口数,2等当選金額,3等口数,3等当選金額,4等口数,4等当選金額,5等口数,5等当選金額,6等口数,6等当選金額,キャリーオーバー
2018-09-28,06 07 10 25 29 30 33,01 31,第284回,該当なし,該当なし,9口,"8,583,600円",124口,"872,100円","6,317口","10,000円","103,248口","1,500円","174,824口","1,100円","1,531,893,985円"
2018-10-05,11 15 21 26 30 34 35,04 36,第285回,該当なし,該当なし,11口,"7,307,100円",114口,"987,000円","6,824口","9,600円","110,319口","1,400円","189,588口","1,000円","2,025,575,125円"
2018-10-12,04 05 14 17 18 29 37,27 31,第286回,該当なし,該当なし,12口,"7,365,100円",151口,"819,400円","7,138口","10,100円","114,717口","1,500円","211,324口","1,000円","2,563,226,520円"
2018-10-19,02 07 10 20 24 29 34,04 08,第287回,該当なし,該当なし,5口,"20,004,100円",139口,"1,007,300円","7,135口","11,500円","120,517口","1,600円","229,390口","1,000円","3,182,905,730円"
2018-10-26,01 08 09 16 27 32 37,17 31,第288回,2口,"1,000,000,000円",16口,"6,898,600円",253口,"610,700円","11,152口","8,100円","159,113口","1,400円","254,099口","1,000円","1,856,070,345円"
2018-11-02,02 07 10 12 16 17 34,23 25,第289回,1口,"1,000,000,000円",10口,"9,272,400円",116口,"1,119,000円","8,151口","9,300円","126,863口","1,400円","237,336口",900円,"1,431,007,375円"
2018-11-09,03 13 22 26 31 32 37,29 35,第290回,該当なし,該当なし,7口,"12,685,700円",135口,"920,800円","8,993口","8,100円","117,753口","1,500円","200,734口","1,100円","1,958,591,280円"
2018-11-16,01 11 18 19 21 29 37,05 15,第291回,1口,"1,000,000,000円",11口,"8,279,400円",147口,"867,300円","6,914口","10,800円","112,385口","1,600円","215,531口","1,000円","1,511,981,740円"
2018-11-23,12 15 25 26 27 29 35,24 30,第292回,該当なし,該当なし,7口,"11,727,300円",123口,"934,300円","6,641口","10,100円","115,238口","1,400円","194,454口","1,000円","2,011,587,545円"
2018-11-30,11 13 15 20 27 29 35,01 07,第293回,3口,"847,890,100円",13口,"6,877,200円",193口,"648,500円","8,255口","8,800円","127,142口","1,400円","221,913口","1,000円",0円
2018-12-07,03 04 06 10 14 22 29,28 32,第294回,該当なし,該当なし,6口,"9,858,900円",117口,"707,800円","5,538口","8,700円","86,288口","1,300円","141,461口","1,000円","362,900,105円"
2018-12-14,04 05 06 08 09 22 32,13 26,第295回,該当なし,該当なし,7口,"10,043,600円",85口,"1,157,900円","5,550口","10,400円","91,904口","1,500円","170,758口","1,000円","786,597,795円"
2018-12-21,01 08 10 12 18 28 29,25 27,第296回,1口,"1,000,000,000円",14口,"5,696,500円",181口,"616,800円","8,342口","7,800円","120,593口","1,300円","198,645口","1,000円","262,288,165円"
2018-12-28,02 03 11 16 23 28 36,08 24,第297回,該当なし,該当なし,29口,"2,601,200円",216口,"488,900円","9,573口","6,400円","127,018口","1,200円","215,516口",800円,"723,867,455円"
2019-01-04,01 03 08 11 18 19 22,26 30,第298回,該当なし,該当なし,10口,"5,834,900円",147口,"555,700円","6,553口","7,300円","92,747口","1,200円","141,991口","1,000円","1,078,420,555円"
2019-01-11,01 06 10 13 16 26 36,28 30,第299回,該当なし,該当なし,11口,"7,533,500円",207口,"560,400円","7,616口","8,900円","105,706口","1,500円","186,101口","1,100円","1,578,585,130円"
2019-01-18,04 07 21 31 33 34 35,06 12,第300回,1口,"1,000,000,000円",4口,"21,689,100円",172口,"706,100円","7,409口","9,600円","114,350口","1,500円","193,635口","1,100円","1,097,825,350円"
2019-01-25,04 11 12 25 27 30 33,05 19,第301回,該当なし,該当なし,20口,"4,144,500円",196口,"592,000円","8,211口","8,200円","122,132口","1,300円","209,123口",900円,"1,614,973,255円"
2019-02-01,08 16 26 27 28 32 34,04 25,第302回,該当なし,該当なし,10口,"8,611,300円",145口,"831,400円","7,315口","9,600円","116,603口","1,400円","198,947口","1,000円","2,150,226,005円"
2019-02-08,04 07 14 17 21 34 37,10 30,第303回,該当なし,該当なし,11口,"8,300,300円",328口,"389,700円","9,335口","8,000円","126,257口","1,400円","194,195口","1,100円","2,711,152,345円"
2019-02-15,07 09 10 17 28 33 36,18 23,第304回,該当なし,該当なし,14口,"6,958,200円",167口,"816,600円","7,790口","10,200円","132,072口","1,400円","242,136口","1,000円","3,299,321,575円"
2019-02-22,06 17 23 24 27 28 31,10 18,第305回,1口,"1,000,000,000円",15口,"7,062,900円",187口,"793,100円","9,402口","9,200円","154,534口","1,300円","262,362口","1,000円","2,940,077,565円"
2019-03-01,12 13 15 22 25 33 35,01 31,第306回,該当なし,該当なし,8口,"12,306,100円",186口,"741,000円","8,831口","9,100円","135,005口","1,400円","222,934口","1,100円","3,531,756,965円"
2019-03-08,05 08 15 24 25 32 35,20 26,第307回,3口,"1,000,000,000円",21口,"4,932,300円",297口,"488,200円","13,086口","6,500円","162,254口","1,200円","244,004口","1,000円","1,171,937,610円"
2019-03-15,05 06 11 15 20 32 33,13 25,第308回,該当なし,該当なし,4口,"21,951,800円",133口,"924,200円","6,761口","10,600円","110,187口","1,600円","205,005口","1,000円","1,705,667,655円"
2019-03-22,01 07 13 14 16 21 22,18 34,第309回,該当なし,該当なし,9口,"9,861,900円",126口,"986,100円","6,832口","10,600円","117,028口","1,500円","211,539口","1,000円","2,243,542,325円"
2019-03-29,17 25 26 28 31 32 37,06 09,第310回,3口,"933,583,800円",7口,"12,983,500円",110口,"1,156,600円","6,651口","11,200円","115,353口","1,500円","216,558口","1,000円",0円
2019-04-05,09 11 18 24 26 27 37,30 33,第311回,該当なし,該当なし,8口,"7,563,000円",107口,"791,600円","5,650口","8,700円","88,259口","1,300円","146,370口","1,000円","369,634,875円"
2019-04-12,01 02 04 18 20 29 34,17 30,第312回,1口,"793,630,300円",8口,"8,697,900円",97口,"1,004,200円","5,040口","11,300円","83,581口","1,600円","152,043口","1,100円",0円
2019-04-19,09 13 16 23 28 29 30,01 20,第313回,該当なし,該当なし,5口,"12,035,500円",127口,"663,300円","5,448口","9,000円","89,097口","1,300円","130,932口","1,100円","367,344,040円"
2019-04-26,03 06 08 19 32 34 35,12 30,第314回,該当なし,該当なし,13口,"5,485,700円",108口,"924,400円","5,553口","10,500円","97,779口","1,400円","166,517口","1,000円","806,994,855円"
2019-05-03,03 11 18 26 30 33 37,28 31,第315回,3口,"413,815,400円",5口,"14,069,200円",159口,"619,300円","6,455口","8,900円","98,226口","1,400円","161,077口","1,000円",0円
2019-05-10,03 09 10 17 30 33 34,06 08,第316回,1口,"348,691,900円",12口,"4,827,400円",135口,"600,700円","5,666口","8,300円","82,071口","1,400円","140,345口","1,000円",0円
2019-05-17,07 08 14 15 16 20 29,18 19,第317回,該当なし,該当なし,4口,"14,232,400円",76口,"1,048,600円","4,620口","10,100円","75,217口","1,500円","116,545口","1,200円","340,388,440円"
2019-05-24,04 05 10 12 27 34 36,03 14,第318回,2口,"376,602,400円",7口,"9,773,600円",140口,"684,100円","6,908口","8,100円","105,569口","1,300円","162,780口","1,000円",0円
2019-05-31,02 06 14 23 28 31 35,19 27,第319回,1口,"348,796,200円",30口,"1,908,100円",226口,"354,600円","7,223口","6,500円","94,033口","1,200円","149,658口",900円,0円
2019-06-07,05 06 18 22 26 33 34,36 37,第320回,1口,"333,152,300円",7口,"7,832,200円",121口,"634,300円","5,868口","7,600円","79,530口","1,300円","122,679口","1,100円",0円
2019-06-14,15 24 27 28 29 34 35,09 25,第321回,該当なし,該当なし,9口,"6,392,100円",86口,"936,500円","4,828口","9,700円","82,937口","1,400円","145,249口",900円,"352,790,235円"
2019-06-21,01 10 11 21 26 29 30,14 20,第322回,2口,"389,402,400円",13口,"5,354,100円",147口,"662,800円","7,713口","7,400円","101,277口","1,300円","152,176口","1,100円",0円
2019-06-28,11 14 15 21 26 34 36,23 27,第323回,1口,"355,424,900円",6口,"9,655,800円",103口,"787,400円","4,826口","9,800円","77,359口","1,500円","146,957口",900円,0円
2019-07-05,09 13 16 17 18 19 20,30 36,第324回,該当なし,該当なし,2口,"27,594,700円",97口,"796,500円","4,121口","10,900円","63,156口","1,700円","113,947口","1,200円","331,147,175円"
2019-07-12,04 14 17 18 21 31 33,06 20,第325回,該当なし,該当なし,5口,"13,191,000円",97口,"951,900円","4,977口","10,800円","80,144口","1,600円","137,151口","1,200円","725,726,100円"
2019-07-19,01 02 17 18 24 27 29,12 32,第326回,2口,"584,295,200円",5口,"14,430,500円",103口,"980,600円","5,032口","11,700円","90,286口","1,600円","164,592口","1,000円",0円
2019-07-26,01 03 13 14 16 30 31,02 17,第327回,1口,"325,927,600円",5口,"10,812,400円",95口,"796,600円","4,617口","9,600円","68,651口","1,500円","111,898口","1,200円",0円
2019-08-02,03 09 10 14 19 24 30,18 21,第328回,1口,"319,467,200円",5口,"10,642,200円",114口,"653,400円","4,490口","9,700円","73,061口","1,400円","120,577口","1,100円",0円
2019-08-09,03 10 19 20 26 28 30,15 25,第329回,該当なし,該当なし,4口,"12,892,800円",89口,"811,200円","4,430口","9,500円","69,036口","1,500円","116,797口","1,100円","305,395,695円"
2019-08-16,03 04 10 12 17 18 20,19 32,第330回,1口,"674,889,600円",4口,"15,358,000円",120口,"716,600円","5,435口","9,200円","84,712口","1,400円","138,394口","1,100円",0円
2019-08-23,05 07 11 12 15 18 20,19 30,第331回,該当なし,該当なし,6口,"8,872,000円",126口,"591,400円","4,999口","8,700円","78,083口","1,300円","134,724口",900円,"331,931,710円"
2019-08-30,05 07 10 15 24 27 30,03 33,第332回,該当なし,該当なし,10口,"6,623,100円",149口,"622,300円","7,242口","7,500円","107,919口","1,200円","177,475口",900円,"732,637,115円"
2019-09-06,01 04 10 11 16 24 34,30 32,第333回,該当なし,該当なし,8口,"9,777,700円",163口,"671,800円","7,178口","8,900円","109,222口","1,400円","177,114口","1,100円","1,200,001,505円"
2019-09-13,03 07 15 16 30 34 35,08 29,第334回,該当なし,該当なし,7口,"12,684,700円",194口,"640,700円","8,126口","8,900円","127,766口","1,400円","218,183口","1,000円","1,728,403,925円"
2019-09-20,09 10 17 18 22 25 35,13 14,第335回,該当なし,該当なし,9口,"10,528,600円",195口,"680,200円","8,483口","9,100円","132,338口","1,400円","227,897口","1,000円","2,302,853,520円"
2019-09-27,09 10 13 21 25 31 33,24 37,第336回,該当なし,該当なし,6口,"17,333,900円",181口,"804,400円","8,759口","9,700円","142,505口","1,400円","236,100口","1,100円","2,927,369,975円"
2019-10-04,05 07 10 12 14 24 35,11 33,第337回,1口,"1,000,000,000円",15口,"7,307,200円",248口,"618,700円","11,324口","7,900円","170,249口","1,300円","293,615口",900円,"2,584,013,245円"
2019-10-11,07 09 16 17 23 27 34,15 36,第338回,1口,"1,000,000,000円",19口,"5,112,700円",194口,"701,000円","9,853口","8,000円","148,918口","1,300円","258,463口",900円,"2,170,574,545円"
2019-10-18,11 15 18 20 23 25 32,09 37,第339回,1口,"1,000,000,000円",11口,"8,388,400円",145口,"890,800円","7,414口","10,200円","120,717口","1,500円","219,031口","1,000円","1,731,734,285円"
2019-10-25,06 14 17 26 27 30 36,12 28,第340回,1口,"1,000,000,000円",10口,"8,665,400円",138口,"879,000円","7,307口","9,700円","115,794口","1,500円","208,956口","1,000円","1,251,961,575円"
2019-11-01,04 11 17 27 29 31 36,19 24,第341回,1口,"1,000,000,000円",28口,"3,169,000円",160口,"776,300円","7,811口","9,300円","124,104口","1,400円","219,507口","1,000円","783,163,535円"
2019-11-08,03 06 24 28 32 35 36,04 08,第342回,該当なし,該当なし,6口,"13,918,200円",160口,"730,600円","7,572口","9,000円","118,568口","1,400円","208,744口",900円,"1,299,561,660円"
2019-11-15,17 19 22 29 30 31 32,11 16,第343回,該当なし,該当なし,7口,"12,200,200円",86口,"1,390,200円","5,697口","12,300円","97,660口","1,700円","187,577口","1,100円","1,816,792,475円"
2019-11-22,11 19 28 29 31 32 37,12 21,第344回,該当なし,該当なし,9口,"9,436,100円",128口,"928,800円","7,088口","9,800円","112,169口","1,500円","184,062口","1,100円","2,330,925,355円"
2019-11-29,06 09 10 18 28 31 32,24 35,第345回,1口,"1,000,000,000円",13口,"6,971,600円",166口,"764,300円","7,785口","9,500円","127,276口","1,400円","220,771口","1,000円","1,876,447,595円"
2019-12-06,11 16 18 23 30 31 35,03 27,第346回,1口,"1,000,000,000円",8口,"10,549,100円",152口,"777,200円","7,411口","9,300円","116,307口","1,400円","221,320口",900円,"1,393,851,380円"
2019-12-13,03 06 11 13 18 20 34,25 35,第347回,該当なし,該当なし,3口,"28,386,700円",138口,"863,900円","6,617口","10,500円","114,754口","1,500円","201,919口","1,000円","1,907,271,955円"
2019-12-20,02 05 17 18 19 20 33,01 24,第348回,該当なし,該当なし,8口,"11,401,900円",157口,"813,300円","8,482口","8,800円","124,300口","1,400円","212,396口","1,000円","2,471,218,605円"
2019-12-27,04 10 11 15 18 22 34,16 32,第349回,2口,"1,000,000,000円",12口,"8,744,800円",235口,"625,100円","10,738口","8,000円","158,812口","1,300円","243,446口","1,000円","1,114,611,465円"
2020-01-10,10 19 21 23 24 30 37,02 28,第350回,該当なし,該当なし,5口,"18,728,900円",121口,"1,083,400円","6,766口","11,300円","112,411口","1,600円","206,560口","1,100円","1,683,375,425円"
2020-01-17,08 13 17 19 23 25 28,05 16,第351回,1口,"1,000,000,000円",17口,"5,252,200円",191口,"654,400円","8,478口","8,600円","130,438口","1,300円","218,272口","1,000円","1,225,967,125円"
2020-01-24,03 04 14 18 26 30 32,28 34,第352回,2口,"886,941,800円",13口,"6,928,800円",167口,"755,100円","7,868口","9,400円","121,713口","1,500円","207,726口","1,000円",0円
2020-01-31,11 15 22 23 24 29 33,19 34,第353回,1口,"386,956,000円",6口,"10,732,300円",132口,"682,900円","6,959口","7,600円","97,058口","1,300円","157,583口","1,000円",0円
2020-02-07,01 02 08 10 13 25 31,23 35,第354回,該当なし,該当なし,8口,"7,729,100円",127口,"681,600円","6,239口","8,100円","91,415口","1,300円","138,711口","1,100円","372,868,110円"
2020-02-14,04 06 09 10 23 27 33,14 31,第355回,1口,"798,697,400円",12口,"5,911,600円",153口,"649,100円","6,515口","8,900円","106,580口","1,300円","174,779口","1,000円",0円
2020-02-21,04 16 20 30 33 34 36,19 21,第356回,1口,"359,572,000円",6口,"9,961,300円",70口,"1,195,300円","3,631口","13,500円","65,274口","1,800円","121,276口","1,200円",0円
2020-02-28,05 08 12 13 14 24 30,27 35,第357回,該当なし,該当なし,10口,"5,953,800円",105口,"793,800円","5,414口","9,000円","86,659口","1,300円","150,754口",900円,"371,973,830円"
2020-03-06,05 13 14 26 32 33 34,08 11,第358回,該当なし,該当なし,7口,"10,038,100円",119口,"826,600円","5,902口","9,700円","88,702口","1,600円","161,037口","1,000円","801,365,640円"
2020-03-13,04 07 11 17 19 26 35,01 24,第359回,1口,"1,000,000,000円",12口,"6,601,900円",174口,"637,400円","8,048口","8,000円","124,609口","1,200円","207,525口",900円,"290,916,085円"
2020-03-20,09 11 13 14 20 22 37,15 17,第360回,該当なし,該当なし,8口,"8,665,100円",88口,"1,102,800円","4,676口","12,100円","81,988口","1,700円","151,412口","1,100円","707,367,235円"
2020-03-27,05 09 16 20 29 33 35,02 08,第361回,1口,"1,000,000,000円",7口,"11,398,400円",110口,"1,015,400円","5,816口","11,200円","97,576口","1,600円","176,827口","1,100円","188,195,440円"
2020-04-03,04 07 08 14 22 24 27,13 26,第362回,1口,"616,130,500円",8口,"8,690,600円",160口,"608,300円","7,457口","7,600円","111,255口","1,200円","181,273口",900円,0円
2020-04-10,13 15 17 22 26 34 36,03 19,第363回,1口,"350,725,000円",7口,"8,122,100円",135口,"589,500円","5,237口","8,900円","78,546口","1,400円","131,595口","1,000円",0円
2020-04-17,03 09 10 14 16 20 27,19 33,第364回,該当なし,該当なし,4口,"13,281,900円",96口,"774,700円","5,078口","8,500円","77,996口","1,300円","131,596口","1,000円","320,852,305円"
2020-04-24,01 04 13 14 16 22 35,10 23,第365回,該当なし,該当なし,4口,"13,698,900円",79口,"971,000円","4,806口","9,300円","74,823口","1,400円","126,609口","1,000円","660,538,520円"
2020-05-01,10 24 25 26 27 33 36,04 23,第366回,該当なし,該当なし,4口,"13,274,200円",79口,"940,900円","4,104口","10,600円","67,535口","1,500円","126,618口","1,000円","985,770,885円"
2020-05-08,08 14 19 20 29 30 31,07 35,第367回,該当なし,該当なし,9口,"6,356,300円",102口,"785,100円","4,862口","9,600円","75,636口","1,500円","128,128口","1,100円","1,327,551,715円"
2020-05-15,07 08 09 13 21 34 35,03 20,第368回,該当なし,該当なし,8口,"8,791,700円",143口,"688,500円","6,742口","8,500円","105,147口","1,300円","171,958口","1,000円","1,751,951,140円"
2020-05-22,01 07 09 11 15 31 34,06 33,第369回,該当なし,該当なし,5口,"16,734,800円",162口,"723,000円","7,659口","8,900円","120,115口","1,400円","200,556口","1,000円","2,255,335,210円"
2020-05-29,07 10 16 25 26 33 34,24 35,第370回,該当なし,該当なし,12口,"8,162,000円",193口,"710,400円","8,425口","9,500円","136,361口","1,400円","229,546口","1,000円","2,855,462,700円"
2020-06-05,01 03 04 08 11 21 25,12 23,第371回,2口,"1,000,000,000円",17口,"6,278,700円",263口,"568,100円","10,712口","8,100円","156,650口","1,300円","272,106口",900円,"1,519,597,420円"
2020-06-12,06 08 22 23 32 33 36,09 27,第372回,1口,"1,000,000,000円",11口,"8,192,000円",142口,"888,400円","7,720口","9,500円","119,368口","1,500円","220,175口","1,000円","1,059,631,065円"
2020-06-19,02 03 17 18 22 23 31,04 30,第373回,該当なし,該当なし,11口,"8,060,400円",134口,"926,300円","8,026口","9,000円","124,274口","1,400円","208,406口","1,000円","1,601,343,530円"
2020-06-26,04 05 09 10 18 27 35,15 34,第374回,1口,"1,000,000,000円",10口,"9,693,300円",246口,"551,600円","10,899口","7,300円","157,940口","1,200円","259,076口",900円,"1,188,343,675円"
2020-07-03,13 15 18 19 23 27 32,34 35,第375回,1口,"1,000,000,000円",23口,"3,910,600円",138口,"912,400円","7,761口","9,500円","123,469口","1,400円","222,110口","1,000円","730,371,255円"
2020-07-10,06 11 14 17 23 31 37,10 15,第376回,3口,"412,353,200円",9口,"9,345,100円",185口,"636,400円","8,521口","8,100円","123,352口","1,300円","209,047口","1,000円",0円
2020-07-17,06 07 10 17 25 33 36,27 32,第377回,該当なし,該当なし,5口,"13,102,600円",127口,"722,100円","6,138口","8,700円","95,816口","1,300円","156,051口","1,000円","402,171,575円"
2020-07-24,01 05 09 10 14 15 29,20 28,第378回,該当なし,該当なし,12口,"6,106,500円",151口,"679,300円","6,707口","8,900円","105,104口","1,400円","175,197口","1,000円","843,587,990円"
2020-07-31,03 08 15 22 24 29 35,18 26,第379回,該当なし,該当なし,18口,"4,511,300円",230口,"494,200円","9,310口","7,100円","125,612口","1,300円","200,191口","1,000円","1,326,515,335円"
2020-08-07,08 14 24 25 32 34 36,13 16,第380回,2口,"923,347,500円",15口,"5,764,000円",150口,"806,900円","7,801口","9,100円","118,016口","1,400円","215,179口","1,000円",0円
2020-08-14,04 08 25 26 27 31 32,09 22,第381回,1口,"381,063,500円",5口,"12,497,500円",115口,"760,700円","5,407口","9,400円","84,842口","1,400円","151,506口","1,000円",0円
2020-08-21,02 03 05 08 19 22 37,16 28,第382回,1口,"369,188,600円",4口,"15,462,300円",129口,"671,200円","5,782口","8,700円","89,293口","1,400円","150,505口","1,000円",0円
2020-08-28,08 11 15 22 26 28 30,10 20,第383回,該当なし,該当なし,10口,"6,319,700円",145口,"610,100円","6,176口","8,400円","97,501口","1,300円","153,383口","1,000円","378,153,785円"
2020-09-04,03 07 15 18 26 30 31,09 33,第384回,該当なし,該当なし,20口,"3,807,600円",190口,"561,100円","7,883口","7,900円","112,856口","1,300円","196,135口",900円,"848,389,185円"
2020-09-11,04 12 14 24 29 34 35,05 15,第385回,1口,"1,000,000,000円",12口,"6,828,200円",202口,"567,800円","9,477口","7,100円","118,923口","1,300円","193,635口","1,000円","353,636,415円"
2020-09-18,09 19 22 32 35 36 37,07 21,第386回,該当なし,該当なし,6口,"12,273,200円",86口,"1,198,700円","4,931口","12,200円","89,546口","1,600円","157,340口","1,100円","804,624,070円"
2020-09-25,03 07 13 22 30 32 37,14 15,第387回,該当なし,該当なし,9口,"8,797,100円",124口,"893,800円","6,062口","10,700円","98,008口","1,600円","189,963口","1,000円","1,282,685,065円"
2020-10-02,01 06 08 10 18 21 32,13 28,第388回,該当なし,該当なし,11口,"8,005,900円",118口,"1,044,800円","6,967口","10,300円","116,250口","1,500円","206,896口","1,000円","1,819,256,050円"
2020-10-09,01 06 11 13 18 24 27,17 23,第389回,3口,"783,897,800円",9口,"9,751,700円",228口,"538,900円","8,544口","8,400円","128,735口","1,300円","214,659口","1,000円",0円
2020-10-16,03 06 19 21 23 26 27,30 34,第390回,該当なし,該当なし,6口,"10,491,400円",111口,"793,900円","5,177口","9,900円","86,684口","1,400円","143,274口","1,000円","391,476,860円"
2020-10-23,10 23 27 32 33 35 37,24 26,第391回,該当なし,該当なし,8口,"9,366,400円",108口,"971,300円","5,193口","11,800円","92,949口","1,600円","160,194口","1,100円","847,273,605円"
2020-10-30,01 04 06 15 20 22 26,18 21,第392回,2口,"675,744,100円",10口,"8,318,100円",139口,"837,700円","6,569口","10,400円","108,197口","1,500円","181,718口","1,100円",0円
2020-11-06,07 14 15 22 27 30 31,09 32,第393回,1口,"388,842,900円",18口,"3,523,800円",173口,"513,200円","7,173口","7,200円","98,663口","1,300円","160,022口",900円,0円
2020-11-13,06 10 22 23 27 32 33,08 19,第394回,該当なし,該当なし,27口,"2,268,700円",207口,"414,200円","7,926口","6,300円","94,991口","1,300円","164,740口",900円,"366,674,380円"
2020-11-20,01 02 05 20 26 29 32,08 09,第395回,3口,"270,621,900円",7口,"10,529,500円",80口,"1,289,800円","4,725口","12,800円","83,410口","1,700円","180,779口","1,000円",0円
2020-11-27,02 03 05 08 16 20 34,26 31,第396回,該当なし,該当なし,7口,"8,652,900円",92口,"921,700円","5,149口","9,600円","82,997口","1,400円","134,718口","1,100円","366,819,660円"
2020-12-04,04 12 13 15 21 28 37,07 20,第397回,該当なし,該当なし,15口,"4,876,800円",131口,"781,700円","7,060口","8,500円","107,285口","1,300円","177,064口","1,000円","812,294,860円"
2020-12-11,03 04 10 17 20 22 33,01 06,第398回,該当なし,該当なし,9口,"8,938,000円",135口,"834,200円","7,096口","9,300円","111,518口","1,400円","197,911口","1,000円","1,296,202,550円"
2020-12-18,07 15 19 20 21 33 36,04 10,第399回,該当なし,該当なし,14口,"6,212,300円",137口,"888,700円","7,501口","9,500円","112,970口","1,500円","197,889口","1,000円","1,834,932,435円"
2020-12-25,04 17 22 28 30 31 35,25 34,第400回,該当なし,該当なし,6口,"16,604,900円",219口,"636,800円","9,043口","9,000円","135,365口","1,400円","219,734口","1,100円","2,441,887,750円"
2021-01-08,04 05 09 14 18 30 35,01 33,第401回,該当なし,該当なし,6口,"18,702,000円",173口,"908,000円","9,392口","9,800円","157,204口","1,400円","263,431口","1,000円","3,127,268,000円"
2021-01-15,07 09 12 17 20 26 29,04 13,第402回,該当なし,該当なし,11口,"9,424,800円",199口,"729,300円","8,946口","9,500円","139,603口","1,500円","253,104口","1,000円","3,744,761,225円"
2021-01-22,02 06 08 12 19 20 29,05 26,第403回,該当なし,該当なし,16口,"7,034,600円",209口,"753,900円","10,493口","8,800円","160,099口","1,400円","277,426口","1,000円","4,415,642,950円"
2021-01-29,04 08 13 16 25 30 32,09 26,第404回,1口,"1,000,000,000円",19口,"6,435,200円",338口,"506,400円","12,289口","8,100円","177,419口","1,300円","299,495口","1,000円","4,159,928,850円"
2021-02-05,03 10 16 17 24 32 36,11 29,第405回,1口,"1,000,000,000円",40口,"2,839,700円",265口,"600,000円","11,201口","8,300円","160,364口","1,400円","279,209口","1,000円","3,839,676,215円"
2021-02-12,01 02 05 16 18 21 29,24 25,第406回,該当なし,該当なし,9口,"11,590,300円",140口,"1,043,100円","8,035口","10,600円","132,750口","1,500円","234,763口","1,100円","4,469,314,595円"
2021-02-19,19 21 25 26 28 30 31,09 16,第407回,該当なし,該当なし,9口,"11,974,300円",140口,"1,077,600円","7,275口","12,100円","130,052口","1,600円","236,344口","1,100円","5,124,236,005円"
2021-02-26,16 18 19 21 29 30 35,14 28,第408回,該当なし,該当なし,17口,"6,668,900円",201口,"789,600円","8,976口","10,300円","143,898口","1,500円","239,143口","1,100円","5,826,847,840円"
2021-03-05,13 15 16 24 30 31 37,12 33,第409回,2口,"1,000,000,000円",12口,"9,712,400円",209口,"780,700円","9,617口","9,900円","149,678口","1,500円","250,298口","1,100円","4,541,466,095円"
2021-03-12,01 02 18 21 26 29 37,09 36,第410回,該当なし,該当なし,12口,"9,016,600円",151口,"1,003,100円","8,484口","10,400円","128,783口","1,700円","234,655口","1,100円","5,192,036,460円"
2021-03-19,04 11 12 21 23 27 36,09 14,第411回,1口,"1,000,000,000円",22口,"5,005,100円",239口,"644,900円","11,396口","7,900円","168,943口","1,300円","296,752口",900円,"4,852,667,870円"
2021-03-26,14 20 22 29 31 33 34,15 24,第412回,該当なし,該当なし,16口,"6,660,200円",174口,"857,300円","9,577口","9,100円","139,977口","1,500円","230,790口","1,100円","5,499,152,315円"
2021-04-02,03 10 16 18 19 34 35,27 36,第413回,1口,"1,000,000,000円",14口,"8,438,000円",187口,"884,400円","9,545口","10,100円","155,215口","1,500円","270,403口","1,000円","5,226,989,110円"
2021-04-09,03 08 16 21 25 36 37,14 20,第414回,1口,"1,000,000,000円",20口,"5,285,900円",213口,"694,800円","9,472口","9,100円","143,262口","1,400円","233,701口","1,100円","4,871,127,215円"
2021-04-16,04 08 12 13 23 32 37,16 35,第415回,6口,"916,445,700円",17口,"6,169,300円",200口,"734,100円","9,672口","8,900円","150,747口","1,400円","253,869口","1,000円",0円
2021-04-23,08 09 10 15 16 30 31,29 36,第416回,1口,"429,819,100円",10口,"7,142,100円",161口,"621,000円","7,094口","8,200円","106,925口","1,300円","175,578口","1,000円",0円
2021-04-30,04 05 13 18 23 27 32,09 11,第417回,2口,"209,683,200円",18口,"3,842,300円",137口,"706,700円","7,439口","7,600円","102,586口","1,300円","186,587口",900円,0円
2021-05-07,10 13 17 18 22 28 37,01 20,第418回,1口,"389,059,300円",5口,"13,020,600円",89口,"1,024,000円","4,923口","10,800円","81,754口","1,600円","132,113口","1,200円",0円
2021-05-14,03 11 14 21 26 29 34,22 33,第419回,2口,"190,298,900円",4口,"15,874,700円",146口,"608,800円","6,512口","8,000円","92,017口","1,400円","152,031口","1,000円",0円
2021-05-21,04 05 11 13 24 32 34,02 03,第420回,該当なし,該当なし,7口,"8,680,800円",85口,"1,000,800円","5,018口","9,900円","83,656口","1,400円","140,942口","1,000円","375,095,330円"
2021-05-28,09 15 18 26 28 32 37,21 36,第421回,該当なし,該当なし,6口,"11,596,300円",120口,"811,700円","6,058口","9,400円","94,384口","1,400円","157,399口","1,100円","794,723,940円"
2021-06-04,01 09 21 23 30 35 36,05 06,第422回,該当なし,該当なし,8口,"9,103,000円",206口,"494,900円","7,074口","8,400円","97,729口","1,500円","173,131口","1,000円","1,233,906,425円"
2021-06-11,01 07 09 11 29 31 32,02 06,第423回,2口,"849,866,300円",11口,"7,015,200円",122口,"885,500円","7,194口","8,800円","112,047口","1,300円","192,350口","1,000円",0円
2021-06-18,05 06 12 19 25 30 35,26 33,第424回,該当なし,該当なし,17口,"3,807,700円",144口,"629,300円","6,349口","8,300円","95,292口","1,300円","153,959口","1,000円","396,864,750円"
2021-06-25,02 09 14 20 22 34 35,07 24,第425回,該当なし,該当なし,6口,"12,027,500円",138口,"732,000円","5,493口","10,700円","88,916口","1,600円","159,744口","1,100円","831,040,900円"
