combo,score
06-07-09-13-16,0.89364167
13-20-22-28-29,0.88661444
01-08-11-14-18,0.88649253
01-08-11-14-22,0.88649253
01-08-11-14-29,0.88649253
01-08-11-18-29,0.88649253
01-08-11-22-29,0.88649253
01-08-14-18-22,0.88649253
01-08-14-18-29,0.88649253
01-08-14-22-29,0.88649253
01-08-18-22-29,0.88649253
01-11-14-18-22,0.88649253
01-11-14-18-29,0.88649253
01-11-14-22-29,0.88649253
01-11-18-22-29,0.88649253
01-14-18-22-29,0.88649253
08-11-14-18-22,0.88649253
08-11-14-18-29,0.88649253
08-11-14-22-29,0.88649253
08-11-18-22-29,0.88649253
08-14-18-22-29,0.88649253
11-14-18-22-29,0.88649253
09-13-20-22-28,0.87940059
09-13-20-22-29,0.87940059
09-13-20-22-33,0.87940059
09-13-20-28-29,0.87940059
09-13-20-28-33,0.87940059
09-13-20-29-33,0.87940059
09-13-22-28-29,0.87940059
09-13-22-28-33,0.87940059
09-13-22-29-33,0.87940059
09-13-28-29-33,0.87940059
09-20-22-28-33,0.87940059
09-20-22-29-33,0.87940059
09-20-28-29-33,0.87940059
09-22-28-29-33,0.87940059
13-20-22-28-33,0.87940059
13-20-22-29-33,0.87940059
13-20-28-29-33,0.87940059
13-22-28-29-33,0.87940059
20-22-28-29-33,0.87940059
01-03-09-25-35,0.87726674
02-17-18-22-25,0.87236539
02-17-18-22-33,0.87236539
02-17-18-23-25,0.87236539
02-17-18-23-33,0.87236539
02-17-18-25-33,0.87236539
02-17-22-23-25,0.87236539
02-17-22-23-33,0.87236539
02-17-22-25-33,0.87236539
02-17-23-25-33,0.87236539
02-18-22-23-25,0.87236539
02-18-22-23-33,0.87236539
02-18-22-25-33,0.87236539
02-18-23-25-33,0.87236539
02-22-23-25-33,0.87236539
17-18-22-23-25,0.87236539
17-18-22-23-33,0.87236539
17-18-22-25-33,0.87236539
17-18-23-25-33,0.87236539
17-22-23-25-33,0.87236539
18-22-23-25-33,0.87236539
06-08-14-19-22,0.86538647
06-08-14-19-25,0.86538647
06-08-14-19-35,0.86538647
06-08-14-22-25,0.86538647
06-08-14-22-35,0.86538647
06-08-14-25-35,0.86538647
06-08-19-22-25,0.86538647
06-08-19-22-35,0.86538647
06-08-19-25-35,0.86538647
06-08-22-25-35,0.86538647
06-14-19-22-25,0.86538647
06-14-19-22-35,0.86538647
06-14-19-25-35,0.86538647
06-14-22-25-35,0.86538647
06-19-22-25-35,0.86538647
08-14-19-22-25,0.86538647
08-14-19-22-35,0.86538647
08-14-19-25-35,0.86538647
08-14-22-25-35,0.86538647
08-19-22-25-35,0.86538647
14-19-22-25-35,0.86538647
03-06-08-14-21,0.85846337
03-06-08-14-22,0.85846337
03-06-08-14-31,0.85846337
03-06-08-21-22,0.85846337
03-06-08-21-31,0.85846337
03-06-08-22-31,0.85846337
03-06-14-21-22,0.85846337
03-06-14-21-31,0.85846337
03-06-14-22-31,0.85846337
03-06-21-22-31,0.85846337
03-08-14-21-22,0.85846337
03-08-14-21-31,0.85846337
03-08-14-22-31,0.85846337
03-08-21-22-31,0.85846337
03-14-21-22-31,0.85846337
06-08-14-21-22,0.85846337
06-08-14-21-31,0.85846337
06-08-14-22-31,0.85846337
06-08-21-22-31,0.85846337
06-14-21-22-31,0.85846337
08-14-21-22-31,0.85846337
04-06-10-11-13,0.85159567
04-06-10-11-17,0.85159567
04-06-10-11-23,0.85159567
04-06-10-13-17,0.85159567
04-06-10-13-23,0.85159567
04-06-10-17-23,0.85159567
04-06-11-13-17,0.85159567
04-06-11-13-23,0.85159567
04-06-11-17-23,0.85159567
04-06-13-17-23,0.85159567
04-10-11-13-17,0.85159567
04-10-11-13-23,0.85159567
04-10-11-17-23,0.85159567
04-10-13-17-23,0.85159567
04-11-13-17-23,0.85159567
06-10-11-13-17,0.85159567
06-10-11-13-23,0.85159567
06-10-11-17-23,0.85159567
06-10-13-17-23,0.85159567
06-11-13-17-23,0.85159567
10-11-13-17-23,0.85159567
04-14-15-21-22,0.8447829
04-14-15-21-24,0.8447829
04-14-15-21-37,0.8447829
04-14-15-22-24,0.8447829
04-14-15-22-37,0.8447829
04-14-15-24-37,0.8447829
04-14-21-22-24,0.8447829
04-14-21-22-37,0.8447829
04-14-21-24-37,0.8447829
04-14-22-24-37,0.8447829
04-15-21-22-24,0.8447829
04-15-21-22-37,0.8447829
04-15-21-24-37,0.8447829
04-15-22-24-37,0.8447829
04-21-22-24-37,0.8447829
14-15-21-22-24,0.8447829
14-15-21-22-37,0.8447829
14-15-21-24-37,0.8447829
14-15-22-24-37,0.8447829
14-21-22-24-37,0.8447829
15-21-22-24-37,0.8447829
07-12-17-22-31,0.83802464
07-12-17-22-34,0.83802464
07-12-17-22-35,0.83802464
07-12-17-31-34,0.83802464
07-12-17-31-35,0.83802464
07-12-17-34-35,0.83802464
07-12-22-31-34,0.83802464
07-12-22-31-35,0.83802464
07-12-22-34-35,0.83802464
07-12-31-34-35,0.83802464
07-17-22-31-34,0.83802464
07-17-22-31-35,0.83802464
07-17-22-34-35,0.83802464
07-17-31-34-35,0.83802464
07-22-31-34-35,0.83802464
12-17-22-31-34,0.83802464
12-17-22-31-35,0.83802464
12-17-31-34-35,0.83802464
12-22-31-34-35,0.83802464
17-22-31-34-35,0.83802464
11-18-19-23-31,0.83671575
04-08-18-20-35,0.83209928
04-06-12-13-16,0.83132044
04-06-12-13-17,0.83132044
04-06-12-13-31,0.83132044
04-06-12-16-17,0.83132044
04-06-12-16-31,0.83132044
04-06-12-17-31,0.83132044
04-06-13-16-17,0.83132044
04-06-13-16-31,0.83132044
04-06-13-17-31,0.83132044
04-06-16-17-31,0.83132044
04-12-13-16-17,0.83132044
04-12-13-16-31,0.83132044
04-12-13-17-31,0.83132044
04-12-16-17-31,0.83132044
04-13-16-17-31,0.83132044
06-12-13-16-17,0.83132044
06-12-13-16-31,0.83132044
06-12-13-17-31,0.83132044
06-12-16-17-31,0.83132044
06-13-16-17-31,0.83132044
12-13-16-17-31,0.83132044
06-07-25-30-33,0.82643455
02-08-09-14-27,0.82466988
02-08-09-14-34,0.82466988
02-08-09-14-36,0.82466988
02-08-09-27-34,0.82466988
02-08-09-27-36,0.82466988
02-08-09-34-36,0.82466988
02-08-14-27-34,0.82466988
02-08-14-27-36,0.82466988
02-08-14-34-36,0.82466988
02-08-27-34-36,0.82466988
02-09-14-27-34,0.82466988
02-09-14-27-36,0.82466988
02-09-14-34-36,0.82466988
02-09-27-34-36,0.82466988
08-09-14-27-34,0.82466988
08-09-14-27-36,0.82466988
08-09-14-34-36,0.82466988
08-09-27-34-36,0.82466988
08-14-27-34-36,0.82466988
09-14-27-34-36,0.82466988
10-12-16-18-19,0.81807252
10-12-16-18-22,0.81807252
10-12-16-18-37,0.81807252
10-12-16-19-22,0.81807252
10-12-16-19-37,0.81807252
10-12-16-22-37,0.81807252
10-12-18-19-22,0.81807252
10-12-18-19-37,0.81807252
10-12-18-22-37,0.81807252
10-16-18-19-22,0.81807252
10-16-18-19-37,0.81807252
10-16-18-22-37,0.81807252
10-16-19-22-37,0.81807252
10-18-19-22-37,0.81807252
12-16-18-19-22,0.81807252
12-16-18-19-37,0.81807252
12-16-18-22-37,0.81807252
12-16-19-22-37,0.81807252
12-18-19-22-37,0.81807252
16-18-19-22-37,0.81807252
09-11-16-23-27,0.81152794
09-11-16-23-29,0.81152794
09-11-16-23-32,0.81152794
09-11-16-27-29,0.81152794
09-11-16-27-32,0.81152794
09-11-16-29-32,0.81152794
09-11-23-27-29,0.81152794
09-11-23-27-32,0.81152794
09-11-23-29-32,0.81152794
09-11-27-29-32,0.81152794
09-16-23-27-29,0.81152794
09-16-23-27-32,0.81152794
09-16-27-29-32,0.81152794
09-23-27-29-32,0.81152794
11-16-23-27-29,0.81152794
11-16-23-27-32,0.81152794
11-16-23-29-32,0.81152794
11-16-27-29-32,0.81152794
11-23-27-29-32,0.81152794
16-23-27-29-32,0.81152794
01-04-06-20-30,0.80503572
01-04-06-20-34,0.80503572
01-04-06-20-37,0.80503572
01-04-06-30-34,0.80503572
01-04-06-30-37,0.80503572
01-04-06-34-37,0.80503572
