created_at,iteration,genome_id,objective_score,roi_percent,profit,grade_hit_count,high_grade_hit_count,max_main_match,rank_3,rank_4,rank_5,rank_6,best_objective_score,best_roi_percent,best_profit
2026-07-13T18:04:52.905824+00:00,105,g105_0105_2629,5914.98,11.905,-240500,30,0,4,0,0,15,15,31464.01,152.857,144300
2026-07-13T18:17:28.282440+00:00,106,g106_0106_6644,5924.31,13.553,-236000,35,0,4,0,0,12,23,31464.01,152.857,144300
2026-07-13T18:35:32.067886+00:00,107,g107_0107_8861,6542.57,14.286,-234000,36,0,4,0,0,16,20,31464.01,152.857,144300
2026-07-13T18:53:39.190912+00:00,108,g108_0108_8880,6139.42,12.454,-239000,31,0,4,0,0,16,15,31464.01,152.857,144300
2026-07-13T18:59:22.174878+00:00,109,g109_0109_7470,9271.04,15.604,-230400,37,1,5,0,1,15,21,31464.01,152.857,144300
2026-07-13T19:24:51.347528+00:00,110,g110_0110_9375,6006.9,12.381,-239200,31,0,4,0,0,15,16,31464.01,152.857,144300
2026-07-13T19:30:35.656935+00:00,111,g111_0111_8414,9214.01,16.227,-228700,40,1,5,0,1,13,26,31464.01,152.857,144300
2026-07-13T19:39:11.262925+00:00,112,g112_0112_6457,10160.24,18.974,-221200,38,1,5,0,1,19,18,31464.01,152.857,144300
2026-07-13T19:44:54.314115+00:00,113,g113_0113_8380,7433.85,17.179,-226100,44,0,4,0,0,18,26,31464.01,152.857,144300
2026-07-13T19:57:23.866612+00:00,114,g114_0114_1124,8601.78,14.872,-232400,29,1,5,0,1,13,15,31464.01,152.857,144300
2026-07-13T20:33:02.620823+00:00,115,g115_0115_3910,5517.4,11.685,-241100,30,0,4,0,0,12,18,31464.01,152.857,144300
2026-07-13T23:34:44.428446+00:00,116,g116_0116_1310,7182.04,15.604,-230400,39,0,4,0,0,19,20,31464.01,152.857,144300
2026-07-13T23:39:10.639477+00:00,117,g117_0117_7798,6798.14,15.897,-229600,41,0,4,0,0,15,26,31464.01,152.857,144300
2026-07-13T23:39:23.600329+00:00,118,g118_0118_5295,6684.43,16.007,-229300,41,0,4,0,0,14,27,31464.01,152.857,144300
2026-07-13T23:49:07.248549+00:00,119,g119_0119_6434,6019.99,14.066,-234600,36,0,4,0,0,12,24,31464.01,152.857,144300
2026-07-13T23:49:11.303049+00:00,120,g120_0120_9062,4465.88,8.828,-248900,24,0,4,0,0,8,16,31464.01,152.857,144300
2026-07-13T23:49:34.670421+00:00,121,g121_0121_3634,9569.37,17.253,-225900,40,1,5,0,1,15,24,31464.01,152.857,144300
2026-07-13T23:52:27.806888+00:00,122,g122_0122_7470,4866.64,10.256,-245000,27,0,4,0,0,9,18,31464.01,152.857,144300
2026-07-13T23:54:17.727505+00:00,123,g123_0123_6687,9427.51,15.531,-230600,35,1,5,0,1,17,17,31464.01,152.857,144300
2026-07-14T00:22:10.064502+00:00,124,g124_0124_9883,5029.43,11.062,-242800,29,0,4,0,0,9,20,31464.01,152.857,144300
