target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
85,2014-11-21,3,04 10 15 23 28 29 35,06 07 10 11 22 26 35,14 23,2,1,外れ
85,2014-11-21,4,01 04 15 23 28 29 36,06 07 10 11 22 26 35,14 23,0,1,外れ
85,2014-11-21,5,01 04 16 23 28 29 35,06 07 10 11 22 26 35,14 23,1,1,外れ
86,2014-11-28,1,04 10 15 23 24 28 35,03 10 20 21 22 26 30,24 35,1,2,外れ
86,2014-11-28,2,01 04 10 23 28 29 35,03 10 20 21 22 26 30,24 35,1,1,外れ
86,2014-11-28,3,01 04 07 23 24 28 35,03 10 20 21 22 26 30,24 35,0,2,外れ
86,2014-11-28,4,04 08 15 23 28 29 35,03 10 20 21 22 26 30,24 35,0,1,外れ
86,2014-11-28,5,01 04 15 23 28 35 36,03 10 20 21 22 26 30,24 35,0,1,外れ
87,2014-12-05,1,04 10 15 23 24 28 35,08 09 12 18 20 28 31,13 15,1,1,外れ
87,2014-12-05,2,01 04 10 23 28 29 35,08 09 12 18 20 28 31,13 15,1,0,外れ
87,2014-12-05,3,04 05 10 21 23 28 35,08 09 12 18 20 28 31,13 15,1,0,外れ
87,2014-12-05,4,01 04 07 23 24 28 35,08 09 12 18 20 28 31,13 15,1,0,外れ
87,2014-12-05,5,04 07 08 10 23 28 35,08 09 12 18 20 28 31,13 15,2,0,外れ
88,2014-12-12,1,04 10 15 23 24 28 35,03 04 10 14 25 29 30,18 19,2,0,外れ
88,2014-12-12,2,01 04 08 10 23 28 35,03 04 10 14 25 29 30,18 19,2,0,外れ
88,2014-12-12,3,04 08 15 23 28 29 35,03 04 10 14 25 29 30,18 19,2,0,外れ
88,2014-12-12,4,04 07 10 23 28 29 35,03 04 10 14 25 29 30,18 19,3,0,外れ
88,2014-12-12,5,04 05 10 21 23 28 35,03 04 10 14 25 29 30,18 19,2,0,外れ
89,2014-12-19,1,04 10 15 23 28 29 35,01 03 11 26 28 34 36,17 20,1,0,外れ
89,2014-12-19,2,01 04 10 23 24 28 35,01 03 11 26 28 34 36,17 20,2,0,外れ
89,2014-12-19,3,03 04 08 10 23 28 35,01 03 11 26 28 34 36,17 20,2,0,外れ
89,2014-12-19,4,03 04 10 23 24 28 29,01 03 11 26 28 34 36,17 20,2,0,外れ
89,2014-12-19,5,01 04 08 10 23 28 29,01 03 11 26 28 34 36,17 20,2,0,外れ
90,2014-12-26,1,01 03 04 10 23 28 35,02 08 09 13 14 18 37,11 25,0,0,外れ
90,2014-12-26,2,03 04 10 23 24 28 29,02 08 09 13 14 18 37,11 25,0,0,外れ
90,2014-12-26,3,04 10 15 23 28 29 35,02 08 09 13 14 18 37,11 25,0,0,外れ
90,2014-12-26,4,01 04 10 23 28 29 36,02 08 09 13 14 18 37,11 25,0,0,外れ
90,2014-12-26,5,03 04 10 15 23 28 36,02 08 09 13 14 18 37,11 25,0,0,外れ
91,2015-01-09,1,03 04 08 10 23 28 35,01 05 07 14 15 25 35,18 24,1,0,外れ
91,2015-01-09,2,01 04 10 23 28 29 35,01 05 07 14 15 25 35,18 24,2,0,外れ
