generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at
4,g004_0188_1102,9222.683441,240,1200,5,0,0,0,4,28,35,1133,0.44285665892094517,0.31896715358055816,0.23276582493542872,0.0054103625630679275,0.10932290161297753,0.08942185805505345,0.1884772523264663,0.02459141740595393,0.04186154762746653,0.5391540960629893,0.45935473981626607,0.43603433892184157,0.11999107095999359,4,17,84,185,2,4,8,2026-06-14T15:59:56.738517+00:00
4,g004_0148_4364,11640.973683,240,1200,5,0,0,0,8,27,35,1130,0.31349918353446105,0.16259166724307864,0.5152351214583202,0.008674027764139995,0.06284241686372427,0.11126008870775414,0.1905717839692279,0.0742188544955983,0.024055690355480434,0.3617399905184334,0.6342545389315167,0.359538939951478,0.5264324417502729,5,23,106,163,1,4,8,2026-06-14T16:01:02.173138+00:00
4,g004_0196_6055,8159.456616,240,1200,5,0,0,0,2,30,40,1128,0.36680394844625236,0.5098271347169417,0.07825714541662188,0.04511177142018404,0.06041589328733924,0.10164628847982504,0.02164624503315859,0.09134530061403834,0.04758131721233458,0.27445194422971353,0.6918274975572609,0.32330951025946286,0.26498468267914066,6,20,78,171,1,4,8,2026-06-14T16:06:56.414755+00:00
4,g004_0164_7141,12561.407086,240,1200,5,0,0,0,10,23,35,1132,0.09094831444654662,0.4612334443389869,0.4366604100235534,0.011157831190913101,0.20090211166602262,0.180259921820678,0.033524780857628576,0.06559923998442115,0.05982948883739561,0.13165044201347287,0.3923268342581167,0.40680771346551986,0.28205792615361697,5,23,105,173,0,4,8,2026-06-14T16:10:47.398832+00:00
5,g005_0020_3861,10668.058577,240,1200,5,0,0,0,6,29,38,1127,0.44790550265041845,0.042103318498159584,0.33696362170584326,0.1730275571455787,0.11440246921322089,0.07707958366599577,0.09404093811828139,0.006027700921304591,0.04594366075725858,0.28042146578632077,0.46372016349603695,0.21138612057204792,0.43793208292876296,5,17,85,179,2,4,8,2026-06-14T16:14:35.822731+00:00
5,g005_0036_8415,10378.101248,240,1200,5,0,0,0,6,27,36,1131,0.37410522785590594,0.25784813421026936,0.23081732105623948,0.13722931687758522,0.18167777234396115,0.14929796652666935,0.028880839205497576,0.09818563707803762,0.008347099349617049,0.18583457055299127,0.046064464958692375,0.26886488252883955,0.3684119325484774,5,17,92,178,1,4,8,2026-06-14T16:18:19.615819+00:00
5,g005_0028_6353,9289.333062,240,1200,5,0,0,0,4,28,41,1127,0.1180408135912572,0.616550016021378,0.009732630030209001,0.25567654035715576,0.13930192950959575,0.14206051237570966,0.028120139731830786,0.08249768270799515,0.051720903002475796,0.12665582129612415,0.2720317117561047,0.4839313379772857,0.39457991654218694,6,22,95,177,1,4,8,2026-06-14T16:43:06.458933+00:00
5,g005_0012_3341,7678.525899,240,1200,5,0,0,0,2,26,33,1139,0.2493622136789256,0.3645719358416807,0.3779206156785713,0.008145234800822411,0.06905673391171152,0.14637668273742094,0.030066145277672526,0.08867629451998406,0.03291713051478176,0.5703027034890968,0.5418157961679214,0.04531531476409502,0.3863955253898639,4,22,113,184,0,4,8,2026-06-14T16:43:08.260649+00:00
5,g005_0052_1938,8347.501578,240,1200,5,0,0,0,3,24,42,1131,0.05693491158552434,0.5499289373614021,0.049490478730771094,0.3436456723223023,0.15031562442881344,0.12128463298001077,0.040425911680851134,0.046058300815913306,0.018016276974685958,0.30139904744934004,0.09360814742186478,0.4244848086159693,0.2690934878337447,4,19,84,183,3,4,8,2026-06-14T16:52:39.332892+00:00
5,g005_0068_1128,8937.364033,240,1200,5,0,0,0,4,24,39,1133,0.3576758387112541,0.05311382397507955,0.5786845448575613,0.010525792456105196,0.07086007651666379,0.23641388338221647,0.1364337691489637,0.09458509501832042,0.034383996624611224,0.4009361882178789,0.5146582970308721,0.14455345164722877,0.6513404874013823,5,17,83,170,2,4,8,2026-06-14T16:56:24.341096+00:00
