generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at,source_file
0,g000_0037_4226,18949.943505,620,3100,5,0,0,0,5,59,82,2954,0.25370570943311654,0.254153281519961,0.22470399409127137,0.267437014955651,0.10851054496883185,0.0656368981828755,0.12446893730308402,0.019696575539120964,0.016618403449052365,0.3956935538030566,0.20978660733740895,0.3736942897384472,0.3697234204880303,6,22,102,166,1,1,4,2026-06-11T10:13:43.363286+00:00,outputs/evolution_history_shard01_of_04.csv
1,g001_0142_5122,18923.301023,620,3100,5,0,0,0,5,58,85,2952,0.008836114173536873,0.5231170854165453,0.37101258239116097,0.09703421801875685,0.10221989374845147,0.2061406700313226,0.03531046427656538,0.0,0.03920688160744687,0.2107544784997435,0.1593754391880208,0.501797076867969,0.22815941151316943,6,18,100,185,1,2,4,2026-06-12T07:25:41.912458+00:00,outputs/evolution_history_shard02_of_04.csv
2,g002_0192_6822,18911.31358,620,3100,5,0,0,0,7,47,72,2974,0.24631110261889236,0.02216826852116616,0.531645085833372,0.19987554302656954,0.14267661522866204,0.14443722262381464,0.16128782223669794,0.06591274379671809,0.024006312324469016,0.6264940620297381,0.5299079269074168,0.38877495355398917,0.5992742655640911,5,20,90,187,3,0,4,2026-06-12T03:19:07.937711+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_0196_8550,18909.809167,621,3105,5,0,0,0,6,49,85,2965,0.41812680172759364,0.19000995745934898,0.2945956364511958,0.09726760436186149,0.047201427974111906,0.1275093528725016,0.09794322859639312,0.055899345899739085,0.00965079110492317,0.4921795011988851,0.16283469451047722,0.0008921191889287028,0.20884181664688256,5,17,106,186,1,0,4,2026-06-13T01:16:09.426073+00:00,outputs/evolution_history_shard00_of_04.csv
1,g001_0084_6347,18855.479199,620,3100,5,0,0,0,5,57,88,2950,0.3211072346368583,0.21183210535378902,0.14828940281188974,0.3187712571974631,0.08878968002895468,0.2410855874037277,0.1629078737742283,0.0009236980735738785,0.05113734845929212,0.6996437849916292,0.24743948033896704,0.12088348122329508,0.36117895572045966,6,21,77,190,1,0,4,2026-06-11T13:28:22.821651+00:00,outputs/evolution_history_shard00_of_04.csv
0,g000_0013_2892,18852.717586,620,3100,5,0,0,0,7,44,78,2971,0.19244649468111075,0.25333197162609455,0.26250338731304595,0.29171814637974874,0.1711552220128805,0.17354213418107906,0.07468305682558805,0.03755459128155521,0.018467305304507502,0.6425677852325515,0.3195466651771776,0.29002267617691996,0.3193654929916986,5,16,102,164,1,1,4,2026-06-11T08:14:28.126547+00:00,outputs/evolution_history_shard01_of_04.csv
1,g001_0143_8631,18817.861143,620,3100,5,0,0,0,6,53,72,2969,0.1257264779823375,0.21950661265583496,0.2483218355165429,0.40644507384528467,0.21662473006176264,0.18565979505478622,0.07209433506100225,0.009416213349576106,0.02200491651372697,0.2701807086384848,0.14707926644991745,0.18583219861476943,0.4798067354945773,4,20,109,171,0,3,4,2026-06-12T01:54:32.266204+00:00,outputs/evolution_history_shard03_of_04.csv
2,g002_0080_8596,18815.286657,620,3100,5,0,0,0,6,52,76,2966,0.17495554308668146,0.5855391462386477,0.1373501085593278,0.102155202115343,0.0048532207099781025,0.03912448623094905,0.18862041374529592,0.07010605279772104,0.05187263109389981,0.48587380355174264,0.6269810207859285,0.0,0.33674425166300065,6,18,87,190,2,0,4,2026-06-11T23:30:15.492026+00:00,outputs/evolution_history_shard00_of_04.csv
1,g001_0044_9230,18723.761034,620,3100,5,0,0,0,6,51,75,2968,0.2680270235213853,0.4146071144818888,0.13172491024659763,0.18564095175012832,0.12055970774684507,0.02822983191758864,0.06435593371670517,0.053091553381749854,0.04341565851698726,0.14873496758499669,0.16539640976645145,0.32901386453031184,0.352316808588531,4,24,94,166,1,0,4,2026-06-11T13:47:10.379854+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_0092_1316,18717.912659,621,3105,5,0,0,0,5,59,76,2965,0.3195213922770391,0.18939887497185817,0.19067170635556266,0.30040802639554015,0.07713069695512183,0.19252283923303215,0.16411737512925753,0.006209527735735455,0.027565351573358206,0.4020167069044913,0.3795673496905798,0.3739039386346754,0.5983590527531092,5,21,102,185,1,0,4,2026-06-12T23:39:15.107088+00:00,outputs/evolution_history_shard00_of_04.csv
