full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,id,generation,score,parents
0.29973652625468244,0.12498217073892777,0.5118357003375964,0.0634456026687935,0.15315713580349724,0.03888348773923825,0.10825026415541113,0.09129863381192863,0.030579607876390805,0.2506568503585506,0.15104850327934136,0.30235813941260525,0.36610737290746825,4,17,95,161,2,breed_0039_7602,26,0.0,"['g025_0043_5739', 'g001_0058_7946']"
0.31068706174670035,0.06069495306127738,0.6083008491623958,0.020317136029626565,0.16990761263111795,0.07941878649694493,0.059662386325692277,0.05479893987024542,0.0358381982278644,0.21641080189317938,0.26457436617496954,0.3143765028288395,0.1074062959500676,4,22,95,170,1,breed_0040_9568,26,0.0,"['g025_0043_5739', 'g001_0123_5401']"
0.45275850693233755,0.04487900089240235,0.20145464956621692,0.30090784260904313,0.2571577834439242,0.22304437105187727,0.03790399343404471,0.08772039010348093,0.04694726103867638,0.3985239631166178,0.37763822732562824,0.1741704985180516,0.5395465759943818,5,14,78,187,2,breed_0041_8758,8,0.0,"['g000_0065_1528', 'g007_0157_9681']"
0.45049121869249836,0.3290172717212079,0.07305004783990705,0.14744146174638664,0.215122331617348,0.043547456273965744,0.09253991150065329,0.059914929148727286,0.028310838745513146,0.13632137390833934,0.0857863978778647,0.15748878731418786,0.2172421374301232,4,16,95,186,1,breed_0042_3382,26,0.0,"['g025_0043_5739', 'g001_0095_2659']"
0.18811743573699832,0.4008812017812912,0.3028869573225395,0.10811440515917092,0.13634857996296762,0.05165534565023319,0.12452827960118666,0.09913888922446788,0.019201743106609697,0.3012745091720956,0.5027748936508759,0.15545107242084755,0.13444634952124268,4,21,102,161,2,breed_0043_6595,2,0.0,"['g001_0121_3591', 'g001_0058_7946']"
0.36221881605175044,0.5398642274772238,0.048718953848745354,0.04919800262228028,0.16588686271875897,0.12535284613590542,0.06705955447198382,0.015436025160278389,0.044211333006899035,0.342124052422772,0.5833641669514374,0.44795073436700117,0.3505195667780537,4,23,87,195,1,breed_0044_3134,7,0.0,"['g006_0036_6682', 'g003_0174_4267']"
0.4340144549607746,0.3749995109547472,0.08266556770505236,0.10832046637942577,0.16680348620060925,0.07549786220157009,0.07100476070922207,0.11877303993548843,0.03696334979996068,0.3825746947623788,0.42305489777329447,0.18776497216488167,0.49673749792371796,6,17,104,182,4,breed_0045_3171,4,0.0,"['g001_0121_3591', 'g003_0140_7492']"
0.3426864215931856,0.14277117567417374,0.24516669256129686,0.2693757101713437,0.24107278832370374,0.10071295950908053,0.04656162215225795,0.06745770623092287,0.04511855541093341,0.4766497113346953,0.4243271508217854,0.2564468874186728,0.4070814436076274,3,20,80,161,0,breed_0046_8308,8,0.0,"['g001_0058_7946', 'g007_0157_9681']"
0.3596438988197096,0.3253392181417637,0.06393220178446168,0.25108468125406497,0.14118567109125837,0.18841959116613782,0.12730352301617273,0.11974692500581045,0.03696585137866131,0.3195971499771442,0.23814610515412765,0.18263268384422385,0.47390019377440656,5,18,104,182,2,breed_0047_5296,4,0.0,"['g001_0121_3591', 'g003_0140_7492']"
0.22080095246983317,0.38668916709029594,0.1510210831611293,0.2414887972787417,0.13642938367914062,0.20036517816473973,0.044200758982796365,0.021120674201174566,0.04398744126322247,0.4000439543917288,0.3860493192796613,0.4243642487612113,0.3914807682962128,6,21,91,172,4,breed_0048_3155,12,0.0,"['g006_0036_6682', 'g011_0072_6961']"
0.6365010518312654,0.17802012291559352,0.11419328385909829,0.07128554139404283,0.15024086365057363,0.11179159891129896,0.06034339367599064,0.06606138319961483,0.0397697233392914,0.21665101210345347,0.2933694750055768,0.5028993221630829,0.11921130129769536,6,24,85,172,2,breed_0049_3441,7,0.0,"['g001_0123_5401', 'g006_0036_6682']"
0.4414986870576883,0.16625154384615756,0.08978422741489045,0.30246554168126366,0.1452847289913036,0.06633138992745928,0.1018648949842863,0.06977941264086049,0.025558344805659994,0.2722964922489167,0.45985580254565933,0.13062022202617202,0.6237251976238081,3,14,86,187,3,breed_0050_1647,6,0.0,"['g000_0065_1528', 'g005_0026_7697']"
0.3379944350172127,0.3388608227045356,0.022865480176400884,0.3002792621018508,0.19339192861698845,0.09320376531835924,0.1036279912021242,0.009541471171649727,0.03453616001397074,0.2840989124601496,0.12125476330718374,0.18003144697147713,0.2557080698337839,4,14,88,175,0,breed_0051_7957,6,0.0,"['g005_0026_7697', 'g001_0095_2659']"
0.4947628592847668,0.27651843102939416,0.10948351236784137,0.1192351973179978,0.16172422813712412,0.09170653781310341,0.06350821335192011,0.11316275209007162,0.029478149619412797,0.3171291642158506,0.24844646425211048,0.38217593159631863,0.42668810950524494,4,18,104,179,1,breed_0052_1346,6,0.0,"['g003_0140_7492', 'g005_0026_7697']"
0.2475406798652094,0.1743316661064175,0.3880499793223227,0.19007767470605041,0.16587273877910175,0.20741779348178668,0.08916253549279424,0.036343720198940554,0.029317949117057464,0.3722919880427971,0.43451321231412404,0.2774856069454599,0.47548379824265374,4,22,91,187,2,breed_0053_6577,12,0.0,"['g000_0065_1528', 'g011_0072_6961']"
0.4140772318025569,0.12642081967004398,0.4339525546425586,0.025549393884840635,0.1899085171843411,0.09167179981007875,0.06437725028381763,0.05931981739032331,0.03970007847397118,0.21866367654633095,0.11151792989754525,0.3712194874028091,0.06606019070996819,4,21,91,185,0,breed_0054_3478,26,0.0,"['g025_0043_5739', 'g001_0123_5401']"
0.27729791372017054,0.1608645908298096,0.5221448707187134,0.03969262473130652,0.18099997384977928,0.08217830165004571,0.06450358032625518,0.0727508750697466,0.037941105963769046,0.24857808354032288,0.2321384907349538,0.29339952867307534,0.09438489351378362,4,17,91,170,1,breed_0055_7239,26,0.0,"['g001_0123_5401', 'g025_0043_5739']"
0.27452783415711923,0.4035278998474461,0.23254048894357668,0.08940377705185795,0.1534429525058873,0.12555970410461365,0.13819946978885783,0.09329823470543926,0.036479235799834704,0.12523626210095362,0.43238883641464365,0.14605804305718453,0.4084716081211597,4,21,110,159,0,breed_0056_8903,2,0.0,"['g001_0058_7946', 'g001_0095_2659']"
0.31818597920720304,0.25419875771885964,0.23330001388855523,0.19431524918538204,0.16728277485437898,0.198028563142703,0.05486013557095975,0.12000359905341532,0.028048319740776307,0.28418487989320734,0.46672433398164165,0.3029597913442944,0.4863178265775419,4,20,106,181,2,breed_0057_8015,4,0.0,"['g001_0121_3591', 'g003_0140_7492']"
0.44908789456363796,0.06809492349676548,0.026494686739727328,0.4563224951998691,0.22084487823025473,0.2154329732446375,0.05307262489655472,0.012759690135958967,0.049311253596602586,0.3908064121852533,0.43342725961983297,0.49804028614565843,0.28602911740127934,6,23,78,172,0,breed_0058_2407,8,0.0,"['g006_0036_6682', 'g007_0157_9681']"
0.27925262497508646,0.16470645841328527,0.4220811886799386,0.13395972793168975,0.22335854881358044,0.06296894023089576,0.08371515490825526,0.08831459327768662,0.03285394932901829,0.29215685633724686,0.5036714431727743,0.1557480686396305,0.5801796366176445,3,14,91,187,0,breed_0059_6321,12,0.0,"['g000_0065_1528', 'g011_0072_6961']"
0.4143977004187195,0.05091981567368152,0.37558550822899167,0.15909697567860734,0.13916953181430292,0.04109661998051188,0.10607794864831428,0.09078862967521228,0.027961288757209744,0.25990516980051254,0.1452130469336027,0.29979126024393077,0.5285671161291573,3,17,90,187,3,breed_0060_3546,26,0.0,"['g025_0043_5739', 'g000_0065_1528']"
0.2597236181128868,0.3428717877509191,0.24954611153553624,0.14785848260065784,0.20295726047697388,0.08998174341608822,0.10514217197175825,0.0689120481878874,0.02959358976814806,0.2109578451251779,0.16778076218216453,0.17080777895780008,0.3693201845657073,5,15,109,161,2,breed_0061_5433,2,0.0,"['g001_0058_7946', 'g001_0095_2659']"
0.2566196456359981,0.4012383147971149,0.06977073753806873,0.2723713020288182,0.12208863897823943,0.10734775344430038,0.07556795103723211,0.07548845769913559,0.037233108752382275,0.34011394611725404,0.41365086673005147,0.4847854423136043,0.4090405410000231,5,22,85,172,1,breed_0062_3799,7,0.0,"['g001_0058_7946', 'g006_0036_6682']"
0.41446091075158115,0.18255228352258165,0.028470410246974456,0.37451639547886273,0.1555618626284692,0.07079100835801957,0.08942502259719522,0.046687391504874734,0.0352770227000724,0.11603991545513075,0.14659284429505087,0.15076368731312514,0.3917579416335013,4,15,86,181,3,breed_0063_8335,6,0.0,"['g005_0026_7697', 'g001_0095_2659']"
