numbers,structural_score,meta_ensemble_score,roi_score,final_score,sum,odd,low,consecutive,range,freq_full,freq_240,freq_120,freq_60,pair_score,bayes_score,zone_1_9,zone_10_18,zone_19_27,zone_28_37,mc_expected_payout,mc_expected_roi,mc_prob_1等,mc_prob_2等,mc_prob_3等,mc_prob_4等,mc_prob_5等,mc_prob_6等,mc_prob_外れ,ensemble_weight_structural
07 09 12 17 22 29 36,109.56962606,109.56962606,-6.70666667,212.43258546,132.0,4.0,4.0,0.0,29.0,163.50361835,113.06596872,83.79047278,56.6398346,89.25147878,1.51586857,2.0,2.0,1.0,2.0,98.8,-0.67066667,0.0,0.0,0.0,0.0,0.031,0.043,0.926,1.0
08 12 14 15 17 22 34,98.43770151,98.43770151,15.48666667,212.36206969,122.0,2.0,5.0,1.0,26.0,159.33543314,108.37101451,79.41141155,52.57460957,84.64772569,1.4909723,1.0,4.0,1.0,1.0,764.6,1.54866667,0.0,0.0,0.001,0.0,0.017,0.034,0.948,1.0
01 07 09 12 22 26 29,109.70570698,109.70570698,-7.05,212.36141396,106.0,4.0,4.0,0.0,28.0,163.2542586,112.61253836,83.68724121,55.20635388,96.0090221,1.50342043,3.0,1.0,2.0,1.0,88.5,-0.705,0.0,0.0,0.0,0.001,0.03,0.022,0.947,1.0
01 08 09 12 22 29 35,109.50278412,109.50278412,-6.86,212.14556824,116.0,4.0,4.0,1.0,34.0,163.90582609,113.49923514,84.83186277,56.355489,90.93711161,1.48682292,3.0,1.0,1.0,2.0,94.2,-0.686,0.0,0.0,0.0,0.0,0.029,0.042,0.929,1.0
01 08 09 12 22 29 36,109.62634204,109.62634204,-7.28666667,211.96601741,117.0,3.0,4.0,1.0,35.0,163.98875078,113.66138533,84.86067253,56.30857255,88.18930711,1.50756981,3.0,1.0,1.0,2.0,81.4,-0.72866667,0.0,0.0,0.0,0.0,0.028,0.031,0.941,1.0
07 09 12 14 22 29 34,109.05475923,109.05475923,-6.15333333,211.95618513,127.0,3.0,4.0,0.0,27.0,164.78464455,112.88972612,82.69490716,53.25525889,91.17679306,1.5283167,2.0,2.0,1.0,2.0,115.4,-0.61533333,0.0,0.0,0.0,0.002,0.028,0.04,0.93,1.0
01 09 12 18 22 29 34,109.11828918,109.11828918,-6.53333333,211.70324502,125.0,3.0,4.0,0.0,33.0,165.84062317,113.37293069,82.82194268,52.72764388,93.38892291,1.51586857,2.0,2.0,1.0,2.0,104.0,-0.65333333,0.0,0.0,0.0,0.002,0.025,0.034,0.939,1.0
06 07 09 12 22 26 33,109.4210847,109.4210847,-7.22,211.6221694,115.0,3.0,4.0,1.0,27.0,160.74053815,112.6577703,85.1688327,58.90066674,94.67254351,1.44117977,3.0,1.0,2.0,1.0,83.4,-0.722,0.0,0.0,0.0,0.0,0.028,0.033,0.939,1.0
01 08 12 15 19 29 32,97.92401283,97.92401283,15.76,211.60802566,116.0,4.0,4.0,0.0,31.0,149.91977846,99.75276291,71.89074256,45.10155517,75.02712457,1.44947852,2.0,2.0,1.0,2.0,772.8,1.576,0.0,0.0,0.001,0.0,0.021,0.035,0.943,1.0
07 09 12 22 26 29 34,108.84082066,108.84082066,-6.12666667,211.55497465,139.0,3.0,3.0,0.0,27.0,164.02204003,112.01871216,82.06079577,52.66898633,94.19833325,1.52416732,2.0,1.0,2.0,2.0,116.2,-0.61266667,0.0,0.0,0.0,0.002,0.029,0.039,0.93,1.0
07 09 12 18 22 29 34,109.45703798,109.45703798,-7.38333333,211.53074262,131.0,3.0,4.0,0.0,27.0,165.93641439,113.36303687,82.63413835,52.65546917,93.28617722,1.53661545,2.0,2.0,1.0,2.0,78.5,-0.73833333,0.0,0.0,0.0,0.001,0.02,0.03,0.949,1.0
01 08 09 12 22 26 29,109.03248063,109.03248063,-6.57666667,211.48829458,107.0,3.0,4.0,1.0,28.0,163.19566189,112.45038428,83.823557,55.43270895,90.76693675,1.49927106,3.0,1.0,2.0,1.0,102.7,-0.65766667,0.0,0.0,0.0,0.003,0.019,0.031,0.947,1.0
07 09 12 17 22 34 36,109.10645946,109.10645946,-6.76666667,211.44625226,137.0,3.0,4.0,0.0,29.0,163.30599898,112.7036856,83.17809943,55.49675043,90.01899466,1.51171919,2.0,2.0,1.0,2.0,97.0,-0.67666667,0.0,0.0,0.0,0.002,0.02,0.036,0.942,1.0
01 07 09 12 22 26 35,109.12453466,109.12453466,-6.89333333,211.35573598,112.0,4.0,4.0,0.0,34.0,161.51696207,112.05431625,83.97063497,56.31653803,96.11223796,1.46607603,3.0,1.0,2.0,1.0,93.2,-0.68933333,0.0,0.0,0.0,0.002,0.019,0.034,0.945,1.0
01 06 07 09 14 16 36,97.62473168,97.62473168,16.06666667,211.31613003,89.0,3.0,6.0,1.0,35.0,150.17068841,103.99841783,77.83636271,53.58717617,74.60672301,1.37478973,4.0,2.0,0.0,1.0,782.0,1.60666667,0.0,0.0,0.001,0.002,0.02,0.021,0.956,1.0
01 07 09 12 20 22 29,109.36794542,109.36794542,-7.45666667,211.27922418,100.0,4.0,4.0,0.0,28.0,163.22397643,113.21046726,84.11343459,55.51742459,92.616992,1.4909723,3.0,1.0,2.0,1.0,76.3,-0.74566667,0.0,0.0,0.0,0.001,0.021,0.026,0.952,1.0
08 09 12 18 19 22 29,108.46261156,108.46261156,-5.65666667,211.26855645,117.0,3.0,4.0,2.0,21.0,163.54657157,112.11909151,82.59423806,54.48997614,87.38270894,1.52001794,2.0,2.0,2.0,1.0,130.3,-0.56566667,0.0,0.0,0.0,0.005,0.016,0.039,0.94,1.0
07 08 09 12 20 22 29,109.29023016,109.29023016,-7.31666667,211.26379366,107.0,3.0,4.0,2.0,22.0,163.26117094,113.03841936,84.06194605,55.67160495,89.41184675,1.50756981,3.0,1.0,2.0,1.0,80.5,-0.73166667,0.0,0.0,0.0,0.001,0.025,0.023,0.951,1.0
07 08 09 12 22 29 31,108.85000677,108.85000677,-6.52666667,211.17334686,118.0,4.0,4.0,2.0,24.0,162.27514017,111.87612118,83.4669993,55.27842993,89.36797414,1.51171919,3.0,1.0,1.0,2.0,104.2,-0.65266667,0.0,0.0,0.0,0.002,0.029,0.027,0.942,1.0
07 09 12 17 22 26 29,108.59402867,108.59402867,-6.05,211.13805735,122.0,4.0,4.0,0.0,22.0,162.71052946,111.85496767,82.75335725,55.76397101,88.64797529,1.50756981,2.0,2.0,2.0,1.0,118.5,-0.605,0.0,0.0,0.0,0.003,0.03,0.027,0.94,1.0
01 09 12 14 22 29 34,108.97409636,108.97409636,-6.81666667,211.13152605,121.0,3.0,4.0,0.0,33.0,164.68885333,112.89961994,82.88271149,53.3274336,93.43025476,1.50756981,2.0,2.0,1.0,2.0,95.5,-0.68166667,0.0,0.0,0.0,0.001,0.03,0.029,0.94,1.0
08 09 12 18 22 29 35,109.12571982,109.12571982,-7.16333333,211.08810631,133.0,3.0,4.0,1.0,27.0,164.33814052,113.00494379,83.66622125,55.13509257,91.21240787,1.49927106,2.0,2.0,1.0,2.0,85.1,-0.71633333,0.0,0.0,0.0,0.001,0.027,0.024,0.948,1.0
07 09 12 22 26 29 36,108.86343792,108.86343792,-6.69,211.03687584,141.0,3.0,3.0,0.0,29.0,162.56528757,111.98492336,82.98537265,54.87533821,90.92843765,1.51171919,2.0,1.0,2.0,2.0,99.3,-0.669,0.0,0.0,0.0,0.003,0.016,0.033,0.948,1.0
07 09 12 22 29 33 34,109.1963514,109.1963514,-7.37333333,211.01936948,146.0,4.0,3.0,1.0,27.0,164.04790521,112.85681054,82.89252695,53.73730321,93.97643859,1.51171919,2.0,1.0,1.0,3.0,78.8,-0.73733333,0.0,0.0,0.0,0.002,0.016,0.025,0.957,1.0
07 08 09 12 22 29 33,109.50533604,109.50533604,-8.03333333,210.97733875,120.0,4.0,4.0,2.0,26.0,163.31731829,113.27858884,84.46748384,56.42885111,88.59709533,1.50756981,3.0,1.0,1.0,2.0,59.0,-0.80333333,0.0,0.0,0.0,0.0,0.015,0.032,0.953,1.0
