created_at,iteration,genome_id,roi_percent,profit,high_grade_hit_count,max_main_match,best_roi_percent,best_profit
2026-06-25T09:51:44.631375+00:00,49,g049_0049_7797,22.39,-724100,8,5,63.773,-338000
2026-06-25T10:00:28.007087+00:00,50,g050_0050_2039,25.991,-690500,10,5,63.773,-338000
2026-06-25T10:02:19.122158+00:00,51,g051_0051_8947,20.793,-739000,5,5,63.773,-338000
2026-06-25T10:11:04.671409+00:00,52,g052_0052_5708,21.522,-732200,6,5,63.773,-338000
2026-06-25T10:14:16.208716+00:00,53,g053_0053_2051,19.314,-752800,4,5,63.773,-338000
2026-06-25T10:19:37.733693+00:00,54,g054_0054_1675,24.116,-708000,10,5,63.773,-338000
2026-06-25T10:24:59.235698+00:00,55,g055_0055_1572,20.289,-743700,4,5,63.773,-338000
2026-06-25T10:30:21.389889+00:00,56,g056_0056_8601,19.475,-751300,3,5,63.773,-338000
2026-06-25T10:31:23.118467+00:00,57,g057_0057_2900,16.334,-780600,1,5,63.773,-338000
2026-06-25T10:40:06.370327+00:00,58,g058_0058_2453,19.421,-751800,5,5,63.773,-338000
2026-06-25T10:41:08.375761+00:00,59,g059_0059_6164,21.554,-731900,6,5,63.773,-338000
2026-06-25T10:49:51.339046+00:00,60,g060_0060_8846,19.678,-749400,4,5,63.773,-338000
2026-06-25T10:53:03.665374+00:00,61,g061_0061_6207,22.422,-723800,7,5,63.773,-338000
2026-06-25T10:56:16.136657+00:00,62,g062_0062_7519,22.787,-720400,7,5,63.773,-338000
2026-06-25T10:57:18.758606+00:00,63,g063_0063_4151,21.533,-732100,6,5,63.773,-338000
2026-06-25T10:58:21.081989+00:00,64,g064_0064_8736,19.164,-754200,3,5,63.773,-338000
2026-06-25T11:00:11.923990+00:00,65,g065_0065_3716,24.63,-703200,9,5,63.773,-338000
2026-06-25T11:05:36.836302+00:00,66,g066_0066_6803,19.732,-748900,5,5,63.773,-338000
2026-06-25T11:07:28.503627+00:00,67,g067_0067_8316,20.375,-742900,6,5,63.773,-338000
2026-06-25T11:10:41.596155+00:00,68,g068_0068_8146,17.856,-766400,3,5,63.773,-338000
2026-06-25T11:12:32.387533+00:00,69,g069_0069_8563,19.132,-754500,4,5,63.773,-338000
2026-06-25T11:17:55.938235+00:00,70,g070_0070_1345,19.378,-752200,4,5,63.773,-338000
2026-06-25T11:18:58.048009+00:00,71,g071_0071_5297,18.553,-759900,4,5,63.773,-338000
2026-06-25T11:24:21.673311+00:00,72,g072_0072_7117,20.139,-745100,5,5,63.773,-338000
2026-06-25T11:29:44.659718+00:00,73,g073_0073_9133,19.475,-751300,3,5,63.773,-338000
