created_at,iteration,genome_id,roi_percent,profit,high_grade_hit_count,max_main_match,best_roi_percent,best_profit
2026-06-23T10:37:20.171956+00:00,56,g056_0056_4072,19.957,-746800,4,5,61.522,-359000
2026-06-23T10:45:51.393248+00:00,57,g057_0057_3365,19.893,-747400,4,5,61.522,-359000
2026-06-23T10:48:59.196830+00:00,58,g058_0058_6856,22.583,-722300,5,5,61.522,-359000
2026-06-23T10:49:59.678041+00:00,59,g059_0059_5404,18.767,-757900,3,5,61.522,-359000
2026-06-23T10:50:59.892348+00:00,60,g060_0060_8950,23.923,-709800,9,5,61.522,-359000
2026-06-23T10:52:48.084026+00:00,61,g061_0061_9054,22.197,-725900,5,5,61.522,-359000
2026-06-23T10:58:02.771674+00:00,62,g062_0062_9657,19.711,-749100,3,5,61.522,-359000
2026-06-23T11:01:10.145025+00:00,63,g063_0063_1293,20.429,-742400,3,5,61.522,-359000
2026-06-23T11:04:17.050624+00:00,64,g064_0064_6117,23.537,-713400,7,5,61.522,-359000
2026-06-23T11:07:24.068687+00:00,65,g065_0065_5359,19.957,-746800,3,5,61.522,-359000
2026-06-23T11:09:12.239921+00:00,66,g066_0066_6497,20.632,-740500,5,5,61.522,-359000
2026-06-23T11:17:47.142124+00:00,67,g067_0067_1294,22.969,-718700,8,5,61.522,-359000
2026-06-23T11:26:21.915950+00:00,68,g068_0068_1959,23.441,-714300,7,5,61.522,-359000
2026-06-23T11:51:41.789851+00:00,69,g069_0069_9912,21.19,-735300,4,5,61.522,-359000
2026-06-23T11:54:41.308454+00:00,70,g070_0070_3686,20.536,-741400,4,5,61.522,-359000
2026-06-23T11:57:41.143470+00:00,71,g071_0071_8208,20.697,-739900,4,5,61.522,-359000
2026-06-23T11:59:24.927631+00:00,72,g072_0072_4200,20.589,-740900,5,5,61.522,-359000
2026-06-23T12:04:26.322686+00:00,73,g073_0073_5313,21.265,-734600,7,5,61.522,-359000
2026-06-23T12:06:09.680412+00:00,74,g074_0074_9545,21.833,-729300,6,5,61.522,-359000
2026-06-23T12:09:08.725128+00:00,75,g075_0075_6108,22.337,-724600,6,5,61.522,-359000
2026-06-23T12:10:51.639333+00:00,76,g076_0076_8872,18.114,-764000,4,5,61.522,-359000
2026-06-23T12:13:49.843051+00:00,77,g077_0077_9982,20.171,-744800,4,5,61.522,-359000
2026-06-23T12:14:47.326209+00:00,78,g078_0078_7199,20.482,-741900,4,5,61.522,-359000
2026-06-23T12:17:45.727390+00:00,79,g079_0079_3711,21.983,-727900,7,5,61.522,-359000
2026-06-23T12:18:43.351636+00:00,80,g080_0080_9405,20.557,-741200,4,5,61.522,-359000
